SupplyID,ProductID,Product,Category,SupplierRole,SupplierID,SupplierName,PurchasePrice_CLP,PurchasePrice_USD,PriceType,PurchaseUnit,LeadTime_Days,HasDelivery
SUP0107,P054,Salted peanuts in shell,Peanuts,Primary,S013,Maipo Nuts Ltd.,4050,4.33,By Weight (kg),kg,3,Yes
SUP0108,P054,Salted peanuts in shell,Peanuts,Backup,S014,El Palomo Nuts,4300,4.6,By Weight (kg),kg,5,Yes
SUP0109,P055,Walnuts (shelled),Nuts,Primary,S013,Maipo Nuts Ltd.,6800,7.27,By Weight (kg),kg,0,Yes
SUP0110,P055,Walnuts (shelled),Nuts,Backup,S015,Nogal Dryfruits,7300,7.81,By Weight (kg),kg,3,No
SUP0111,P056,Premium light-half walnuts,Nuts,Primary,S013,Maipo Nuts Ltd.,10000,10.7,By Weight (kg),kg,1,Yes
SUP0112,P056,Premium light-half walnuts,Nuts,Backup,S015,Nogal Dryfruits,9650,10.32,By Weight (kg),kg,7,No
SUP0113,P057,Walnuts in shell,Nuts,Primary,S013,Maipo Nuts Ltd.,4650,4.97,By Weight (kg),kg,5,Yes
SUP0114,P057,Walnuts in shell,Nuts,Backup,S015,Nogal Dryfruits,4600,4.92,By Weight (kg),kg,10,No
SUP0115,P058,Almonds (shelled),Nuts,Primary,S013,Maipo Nuts Ltd.,7550,8.07,By Weight (kg),kg,2,Yes
SUP0116,P058,Almonds (shelled),Nuts,Backup,S015,Nogal Dryfruits,7650,8.18,By Weight (kg),kg,2,No
SUP0117,P059,Sliced almonds,Nuts,Primary,S013,Maipo Nuts Ltd.,9250,9.89,By Weight (kg),kg,1,Yes
SUP0118,P059,Sliced almonds,Nuts,Backup,S015,Nogal Dryfruits,9550,10.21,By Weight (kg),kg,10,No
SUP0119,P060,Roasted salted almonds,Nuts,Primary,S013,Maipo Nuts Ltd.,8500,9.09,By Weight (kg),kg,2,Yes
SUP0120,P060,Roasted salted almonds,Nuts,Backup,S015,Nogal Dryfruits,8800,9.41,By Weight (kg),kg,7,No
SUP0121,P061,Hazelnuts,Nuts,Primary,S013,Maipo Nuts Ltd.,5400,5.78,By Weight (kg),kg,2,Yes
SUP0122,P061,Hazelnuts,Nuts,Backup,S015,Nogal Dryfruits,6250,6.68,By Weight (kg),kg,2,No
SUP0123,P062,European hazelnuts (premium),Nuts,Primary,S013,Maipo Nuts Ltd.,16600,17.75,By Weight (kg),kg,2,Yes
SUP0124,P062,European hazelnuts (premium),Nuts,Backup,S015,Nogal Dryfruits,16700,17.86,By Weight (kg),kg,5,No
SUP0125,P063,Cashews (salted),Nuts,Primary,S013,Maipo Nuts Ltd.,19600,20.96,By Weight (kg),kg,3,Yes
SUP0126,P063,Cashews (salted),Nuts,Backup,S015,Nogal Dryfruits,19850,21.23,By Weight (kg),kg,5,No
SUP0127,P064,Cashews (unsalted),Nuts,Primary,S013,Maipo Nuts Ltd.,20150,21.55,By Weight (kg),kg,1,Yes
SUP0128,P064,Cashews (unsalted),Nuts,Backup,S015,Nogal Dryfruits,20250,21.66,By Weight (kg),kg,7,No
SUP0129,P065,"Pistachios (roasted, salted)",Nuts,Primary,S013,Maipo Nuts Ltd.,22950,24.55,By Weight (kg),kg,2,Yes
SUP0130,P065,"Pistachios (roasted, salted)",Nuts,Backup,S015,Nogal Dryfruits,23900,25.56,By Weight (kg),kg,3,No
SUP0131,P066,Pistachios (unsalted),Nuts,Primary,S013,Maipo Nuts Ltd.,22450,24.01,By Weight (kg),kg,0,Yes
SUP0132,P066,Pistachios (unsalted),Nuts,Backup,S015,Nogal Dryfruits,24400,26.1,By Weight (kg),kg,3,No
SUP0133,P067,Pecans (shelled),Nuts,Primary,S013,Maipo Nuts Ltd.,13000,13.9,By Weight (kg),kg,2,Yes
SUP0134,P067,Pecans (shelled),Nuts,Backup,S015,Nogal Dryfruits,14800,15.83,By Weight (kg),kg,2,No
SUP0135,P068,Brazil nuts,Nuts,Primary,S013,Maipo Nuts Ltd.,11600,12.41,By Weight (kg),kg,0,Yes
SUP0136,P068,Brazil nuts,Nuts,Backup,S015,Nogal Dryfruits,12100,12.94,By Weight (kg),kg,3,No
SUP0137,P069,Macadamia nuts,Nuts,Primary,S013,Maipo Nuts Ltd.,17200,18.4,By Weight (kg),kg,2,Yes
SUP0138,P069,Macadamia nuts,Nuts,Backup,S015,Nogal Dryfruits,18600,19.89,By Weight (kg),kg,2,No
SUP0139,P070,Sunflower seeds,Seeds,Primary,S013,Maipo Nuts Ltd.,2800,2.99,By Weight (kg),kg,5,Yes
SUP0140,P070,Sunflower seeds,Seeds,Backup,S016,Semillas del Campo,3050,3.26,By Weight (kg),kg,3,No
SUP0141,P071,Pumpkin seeds,Seeds,Primary,S013,Maipo Nuts Ltd.,4200,4.49,By Weight (kg),kg,0,Yes
SUP0142,P071,Pumpkin seeds,Seeds,Backup,S016,Semillas del Campo,4500,4.81,By Weight (kg),kg,5,No
SUP0143,P072,Chia seeds,Seeds,Primary,S013,Maipo Nuts Ltd.,3700,3.96,By Weight (kg),kg,3,Yes
SUP0144,P072,Chia seeds,Seeds,Backup,S016,Semillas del Campo,3850,4.12,By Weight (kg),kg,5,No
SUP0145,P073,Flax seeds,Seeds,Primary,S013,Maipo Nuts Ltd.,2550,2.73,By Weight (kg),kg,2,Yes
SUP0146,P073,Flax seeds,Seeds,Backup,S016,Semillas del Campo,2550,2.73,By Weight (kg),kg,10,No
SUP0147,P074,Sesame seeds,Seeds,Primary,S013,Maipo Nuts Ltd.,3300,3.53,By Weight (kg),kg,1,Yes
SUP0148,P074,Sesame seeds,Seeds,Backup,S016,Semillas del Campo,3450,3.69,By Weight (kg),kg,3,No
SUP0149,P075,Artisanal alfajores,Candy,Primary,S017,Molina Artisan Sweets,700,0.75,By Unit/Package,unit,2,No
SUP0150,P075,Artisanal alfajores,Candy,Backup,S018,Dulces La Estrella,700,0.75,By Unit/Package,unit,5,Yes
SUP0151,P076,Candied quince (membrillo),Candy,Primary,S017,Molina Artisan Sweets,2450,2.62,By Weight (kg),kg,1,No
SUP0152,P076,Candied quince (membrillo),Candy,Backup,S018,Dulces La Estrella,2400,2.57,By Weight (kg),kg,5,Yes
SUP0153,P077,"Homemade jam, jar 350g",Candy,Primary,S017,Molina Artisan Sweets,1350,1.44,By Unit/Package,jar 350g,1,No
SUP0154,P077,"Homemade jam, jar 350g",Candy,Backup,S018,Dulces La Estrella,1450,1.55,By Unit/Package,jar 350g,3,Yes
SUP0155,P078,Artisanal nougat (turron),Candy,Primary,S017,Molina Artisan Sweets,700,0.75,By Unit/Package,unit,3,No
SUP0156,P078,Artisanal nougat (turron),Candy,Backup,S018,Dulces La Estrella,750,0.8,By Unit/Package,unit,5,Yes
SUP0157,P079,Raw cane sugar loaf (chancaca),Candy,Primary,S017,Molina Artisan Sweets,700,0.75,By Unit/Package,unit,2,No
SUP0158,P079,Raw cane sugar loaf (chancaca),Candy,Backup,S018,Dulces La Estrella,750,0.8,By Unit/Package,unit,3,Yes
SUP0159,P080,Gummy candy bag 100g,Candy,Primary,S017,Molina Artisan Sweets,650,0.7,By Unit/Package,bag 100g,2,No
SUP0160,P080,Gummy candy bag 100g,Candy,Backup,S018,Dulces La Estrella,750,0.8,By Unit/Package,bag 100g,7,Yes
SUP0161,P081,Gummy candy bag 50g,Candy,Primary,S017,Molina Artisan Sweets,350,0.37,By Unit/Package,bag 50g,2,No
SUP0162,P081,Gummy candy bag 50g,Candy,Backup,S018,Dulces La Estrella,350,0.37,By Unit/Package,bag 50g,10,Yes
SUP0163,P082,Sour gummy bag 100g,Candy,Primary,S017,Molina Artisan Sweets,700,0.75,By Unit/Package,bag 100g,3,No
SUP0164,P082,Sour gummy bag 100g,Candy,Backup,S018,Dulces La Estrella,700,0.75,By Unit/Package,bag 100g,3,Yes
SUP0165,P083,Wine gums bag 50g,Candy,Primary,S017,Molina Artisan Sweets,350,0.37,By Unit/Package,bag 50g,3,No
SUP0166,P083,Wine gums bag 50g,Candy,Backup,S018,Dulces La Estrella,350,0.37,By Unit/Package,bag 50g,3,Yes
SUP0167,P084,Chocolate-coated raisins bag 100g,Candy,Primary,S017,Molina Artisan Sweets,700,0.75,By Unit/Package,bag 100g,2,No
SUP0168,P084,Chocolate-coated raisins bag 100g,Candy,Backup,S018,Dulces La Estrella,700,0.75,By Unit/Package,bag 100g,2,Yes
SUP0169,P085,Chocolate-coated peanuts bag 100g,Candy,Primary,S017,Molina Artisan Sweets,700,0.75,By Unit/Package,bag 100g,5,No
SUP0170,P085,Chocolate-coated peanuts bag 100g,Candy,Backup,S018,Dulces La Estrella,700,0.75,By Unit/Package,bag 100g,10,Yes
SUP0171,P086,Toffee caramels bag 100g,Candy,Primary,S017,Molina Artisan Sweets,650,0.7,By Unit/Package,bag 100g,0,No
SUP0172,P086,Toffee caramels bag 100g,Candy,Backup,S018,Dulces La Estrella,700,0.75,By Unit/Package,bag 100g,3,Yes
SUP0173,P087,Mint candy bag 50g,Candy,Primary,S017,Molina Artisan Sweets,350,0.37,By Unit/Package,bag 50g,5,No
SUP0174,P087,Mint candy bag 50g,Candy,Backup,S018,Dulces La Estrella,350,0.37,By Unit/Package,bag 50g,3,Yes
SUP0175,P088,Licorice bag 100g,Candy,Primary,S017,Molina Artisan Sweets,650,0.7,By Unit/Package,bag 100g,3,No
SUP0176,P088,Licorice bag 100g,Candy,Backup,S018,Dulces La Estrella,750,0.8,By Unit/Package,bag 100g,3,Yes
SUP0177,P089,Mixed hard candy bag 50g,Candy,Primary,S017,Molina Artisan Sweets,350,0.37,By Unit/Package,bag 50g,2,No
SUP0178,P089,Mixed hard candy bag 50g,Candy,Backup,S018,Dulces La Estrella,350,0.37,By Unit/Package,bag 50g,10,Yes
SUP0179,P090,Coconut candy bag 100g,Candy,Primary,S017,Molina Artisan Sweets,650,0.7,By Unit/Package,bag 100g,0,No
SUP0180,P090,Coconut candy bag 100g,Candy,Backup,S018,Dulces La Estrella,750,0.8,By Unit/Package,bag 100g,5,Yes
SUP0181,P091,Dulce de leche cookies bag 100g,Candy,Primary,S017,Molina Artisan Sweets,700,0.75,By Unit/Package,bag 100g,1,No
SUP0182,P091,Dulce de leche cookies bag 100g,Candy,Backup,S018,Dulces La Estrella,700,0.75,By Unit/Package,bag 100g,7,Yes
SUP0183,P092,Golden raisins,Raisins,Primary,S019,San Fernando Dried Goods,5350,5.72,By Weight (kg),kg,1,Yes
SUP0184,P092,Golden raisins,Raisins,Backup,S020,Deshidratados Elqui,5550,5.94,By Weight (kg),kg,5,No
SUP0185,P093,Brown raisins,Raisins,Primary,S019,San Fernando Dried Goods,5150,5.51,By Weight (kg),kg,2,Yes
SUP0186,P093,Brown raisins,Raisins,Backup,S020,Deshidratados Elqui,5100,5.45,By Weight (kg),kg,7,No
SUP0187,P094,Jumbo raisins,Raisins,Primary,S019,San Fernando Dried Goods,6000,6.42,By Weight (kg),kg,2,Yes
SUP0188,P094,Jumbo raisins,Raisins,Backup,S020,Deshidratados Elqui,6000,6.42,By Weight (kg),kg,3,No
SUP0189,P095,Dried prunes (with pit),Dried Fruit,Primary,S019,San Fernando Dried Goods,3400,3.64,By Weight (kg),kg,1,Yes
SUP0190,P095,Dried prunes (with pit),Dried Fruit,Backup,S020,Deshidratados Elqui,3350,3.58,By Weight (kg),kg,5,No
SUP0191,P096,Pitted prunes,Dried Fruit,Primary,S019,San Fernando Dried Goods,4150,4.44,By Weight (kg),kg,1,Yes
SUP0192,P096,Pitted prunes,Dried Fruit,Backup,S020,Deshidratados Elqui,4250,4.55,By Weight (kg),kg,2,No
SUP0193,P097,"Dried peaches (huesillos), large",Dried Fruit,Primary,S019,San Fernando Dried Goods,4200,4.49,By Weight (kg),kg,3,Yes
SUP0194,P097,"Dried peaches (huesillos), large",Dried Fruit,Backup,S020,Deshidratados Elqui,4600,4.92,By Weight (kg),kg,10,No
SUP0195,P098,"Dried peaches (huesillos), medium",Dried Fruit,Primary,S019,San Fernando Dried Goods,3600,3.85,By Weight (kg),kg,1,Yes
SUP0196,P098,"Dried peaches (huesillos), medium",Dried Fruit,Backup,S020,Deshidratados Elqui,3750,4.01,By Weight (kg),kg,5,No
SUP0197,P099,Dried apricots,Dried Fruit,Primary,S019,San Fernando Dried Goods,5000,5.35,By Weight (kg),kg,2,Yes
SUP0198,P099,Dried apricots,Dried Fruit,Backup,S020,Deshidratados Elqui,5050,5.4,By Weight (kg),kg,5,No
SUP0199,P100,Dried figs,Dried Fruit,Primary,S019,San Fernando Dried Goods,4500,4.81,By Weight (kg),kg,0,Yes
SUP0200,P100,Dried figs,Dried Fruit,Backup,S020,Deshidratados Elqui,4950,5.29,By Weight (kg),kg,3,No
