BatchID,ProductID,Category,Status,QtyPurchased,QtySold,QtyWasted,WastedPct,CloseDate,Revenue_CLP,Revenue_USD,BatchCost_CLP,GrossProfit_CLP,GrossProfit_USD,ProductID_purchase,UnitCost_CLP,Quantity,PurchaseDate,Unit,WasteCost_CLP,ClosureScope,PurchaseCohort
B00018,P001,Olives,Sold Out,48,48.0,0.0,0.0,2023-12-18,192000,205.35,141600,50400,53.9,P001,2950,48,2023-12-09,kg,0.0,Closed by cutoff,2023-12
B00019,P001,Olives,Sold Out,47,47.0,0.0,0.0,2023-12-23,188000,201.07,141000,47000,50.27,P001,3000,47,2023-12-18,kg,0.0,Closed by cutoff,2023-12
B00020,P001,Olives,Sold Out,53,53.0,0.0,0.0,2024-01-03,212000,226.74,156350,55650,59.52,P001,2950,53,2023-12-27,kg,0.0,Closed by cutoff,2023-12
B00021,P001,Olives,Sold Out,40,40.0,0.0,0.0,2024-01-15,160000,171.12,118000,42000,44.92,P001,2950,40,2024-01-05,kg,0.0,Closed by cutoff,2024-01
B00022,P001,Olives,Partial Loss,41,33.33,7.67,18.7,2024-02-29,133320,142.59,123000,10320,11.04,P001,3000,41,2024-01-15,kg,23010.0,Closed by cutoff,2024-01
B00023,P001,Olives,Partial Loss,35,25.97,9.03,25.8,2024-03-09,103880,111.1,103250,630,0.67,P001,2950,35,2024-01-24,kg,26638.499999999996,Closed by cutoff,2024-01
B00024,P001,Olives,Sold Out,35,35.0,0.0,0.0,2024-02-06,140000,149.73,103250,36750,39.3,P001,2950,35,2024-02-01,kg,0.0,Closed by cutoff,2024-02
B00025,P001,Olives,Sold Out,40,40.0,0.0,0.0,2024-02-21,160000,171.12,118000,42000,44.92,P001,2950,40,2024-02-11,kg,0.0,Closed by cutoff,2024-02
B00026,P001,Olives,Partial Loss,45,36.85,8.14,18.1,2024-04-05,147400,157.65,135000,12400,13.26,P001,3000,45,2024-02-20,kg,24420.0,Closed by cutoff,2024-02
B00027,P001,Olives,Partial Loss,45,29.57,15.44,34.3,2024-04-14,118280,126.5,132750,-14470,-15.48,P001,2950,45,2024-02-29,kg,45548.0,Closed by cutoff,2024-02
B00028,P001,Olives,Sold Out,46,46.0,0.0,0.0,2024-03-21,184000,196.79,135700,48300,51.66,P001,2950,46,2024-03-10,kg,0.0,Closed by cutoff,2024-03
B00029,P001,Olives,Partial Loss,35,33.88,1.12,3.2,2024-05-05,135520,144.94,103250,32270,34.51,P001,2950,35,2024-03-21,kg,3304.0000000000005,Closed by cutoff,2024-03
B00030,P001,Olives,Partial Loss,34,30.36,3.64,10.7,2024-05-15,121440,129.88,100300,21140,22.61,P001,2950,34,2024-03-31,kg,10738.0,Closed by cutoff,2024-03
B00031,P001,Olives,Partial Loss,13,10.59,2.4,18.5,2024-05-24,42360,45.3,38350,4010,4.29,P001,2950,13,2024-04-09,kg,7080.0,Closed by cutoff,2024-04
B00032,P001,Olives,Sold Out,14,14.0,0.0,0.0,2024-04-25,56000,59.89,42000,14000,14.97,P001,3000,14,2024-04-20,kg,0.0,Closed by cutoff,2024-04
B00033,P001,Olives,Partial Loss,16,14.1,1.9,11.9,2024-06-13,56400,60.32,47200,9200,9.84,P001,2950,16,2024-04-29,kg,5605.0,Closed by cutoff,2024-04
B00034,P001,Olives,Sold Out,15,15.0,0.0,0.0,2024-05-19,60000,64.17,44250,15750,16.84,P001,2950,15,2024-05-09,kg,0.0,Closed by cutoff,2024-05
B00035,P001,Olives,Sold Out,13,13.0,0.0,0.0,2024-05-29,52000,55.61,39000,13000,13.9,P001,3000,13,2024-05-18,kg,0.0,Closed by cutoff,2024-05
B00036,P001,Olives,Partial Loss,15,11.51,3.5,23.3,2024-07-11,46040,49.24,44250,1790,1.91,P001,2950,15,2024-05-27,kg,10325.0,Closed by cutoff,2024-05
B00037,P001,Olives,Partial Loss,15,11.27,3.73,24.9,2024-07-19,45080,48.21,44250,830,0.89,P001,2950,15,2024-06-04,kg,11003.5,Closed by cutoff,2024-06
B00038,P001,Olives,Partial Loss,15,11.8,3.19,21.3,2024-07-29,47200,50.48,44250,2950,3.16,P001,2950,15,2024-06-14,kg,9410.5,Closed by cutoff,2024-06
B00039,P001,Olives,Sold Out,13,13.0,0.0,0.0,2024-06-27,52000,55.61,38350,13650,14.6,P001,2950,13,2024-06-21,kg,0.0,Closed by cutoff,2024-06
B00040,P001,Olives,Partial Loss,15,12.25,2.75,18.3,2024-08-14,49000,52.41,44250,4750,5.08,P001,2950,15,2024-06-30,kg,8112.5,Closed by cutoff,2024-06
B00041,P001,Olives,Partial Loss,15,13.38,1.62,10.8,2024-08-25,53520,57.24,44250,9270,9.91,P001,2950,15,2024-07-11,kg,4779.0,Closed by cutoff,2024-07
B00042,P001,Olives,Sold Out,15,15.0,0.0,0.0,2024-07-29,60000,64.17,44250,15750,16.84,P001,2950,15,2024-07-21,kg,0.0,Closed by cutoff,2024-07
B00043,P001,Olives,Partial Loss,14,12.66,1.34,9.6,2024-09-14,50640,54.16,41300,9340,9.99,P001,2950,14,2024-07-31,kg,3953.0000000000005,Closed by cutoff,2024-07
B00044,P001,Olives,Partial Loss,16,13.04,2.96,18.5,2024-09-25,52160,55.79,47200,4960,5.3,P001,2950,16,2024-08-11,kg,8732.0,Closed by cutoff,2024-08
B00045,P001,Olives,Sold Out,14,14.0,0.0,0.0,2024-08-28,56000,59.89,41300,14700,15.72,P001,2950,14,2024-08-22,kg,0.0,Closed by cutoff,2024-08
B00046,P001,Olives,Partial Loss,21,19.38,1.62,7.7,2024-10-17,77520,82.91,61950,15570,16.65,P001,2950,21,2024-09-02,kg,4779.0,Closed by cutoff,2024-09
B00047,P001,Olives,Partial Loss,19,18.13,0.87,4.6,2024-10-26,72520,77.56,57000,15520,16.6,P001,3000,19,2024-09-11,kg,2610.0,Closed by cutoff,2024-09
B00048,P001,Olives,Partial Loss,19,14.31,4.69,24.7,2024-11-04,57240,61.22,57000,240,0.26,P001,3000,19,2024-09-20,kg,14070.000000000002,Closed by cutoff,2024-09
B00049,P001,Olives,Sold Out,36,36.0,0.0,0.0,2024-10-07,144000,154.01,106200,37800,40.43,P001,2950,36,2024-10-01,kg,0.0,Closed by cutoff,2024-10
B00050,P001,Olives,Partial Loss,36,31.75,4.25,11.8,2024-11-24,127000,135.83,108000,19000,20.32,P001,3000,36,2024-10-10,kg,12750.0,Closed by cutoff,2024-10
B00051,P001,Olives,Sold Out,39,39.0,0.0,0.0,2024-10-19,156000,166.84,115050,40950,43.8,P001,2950,39,2024-10-17,kg,0.0,Closed by cutoff,2024-10
B00052,P001,Olives,Sold Out,43,43.0,0.0,0.0,2024-11-05,172000,183.96,126850,45150,48.29,P001,2950,43,2024-10-27,kg,0.0,Closed by cutoff,2024-10
B00053,P001,Olives,Sold Out,41,41.0,0.0,0.0,2024-11-09,164000,175.4,120950,43050,46.04,P001,2950,41,2024-11-04,kg,0.0,Closed by cutoff,2024-11
B00054,P001,Olives,Partial Loss,38,30.13,7.87,20.7,2024-12-29,120520,128.9,112100,8420,9.01,P001,2950,38,2024-11-14,kg,23216.5,Closed by cutoff,2024-11
B00055,P001,Olives,Sold Out,46,46.0,0.0,0.0,2024-12-04,184000,196.79,135700,48300,51.66,P001,2950,46,2024-11-27,kg,0.0,Closed by cutoff,2024-11
B00056,P001,Olives,Sold Out,59,59.0,0.0,0.0,2024-12-17,236000,252.41,174050,61950,66.26,P001,2950,59,2024-12-05,kg,0.0,Closed by cutoff,2024-12
B00057,P001,Olives,Sold Out,53,53.0,0.0,0.0,2024-12-19,212000,226.74,156350,55650,59.52,P001,2950,53,2024-12-13,kg,0.0,Closed by cutoff,2024-12
B00058,P001,Olives,Sold Out,52,52.0,0.0,0.0,2024-12-30,208000,222.46,153400,54600,58.4,P001,2950,52,2024-12-22,kg,0.0,Closed by cutoff,2024-12
B00059,P001,Olives,Sold Out,41,41.0,0.0,0.0,2025-01-11,164000,175.4,120950,43050,46.04,P001,2950,41,2025-01-01,kg,0.0,Closed by cutoff,2025-01
B00060,P001,Olives,Sold Out,43,43.0,0.0,0.0,2025-01-15,172000,183.96,126850,45150,48.29,P001,2950,43,2025-01-11,kg,0.0,Closed by cutoff,2025-01
B00061,P001,Olives,Sold Out,44,44.0,0.0,0.0,2025-02-01,176000,188.24,129800,46200,49.41,P001,2950,44,2025-01-22,kg,0.0,Closed by cutoff,2025-01
B00062,P001,Olives,Partial Loss,39,33.03,5.97,15.3,2025-03-14,132120,141.3,115050,17070,18.26,P001,2950,39,2025-01-28,kg,17611.5,Closed by cutoff,2025-01
B00063,P001,Olives,Sold Out,49,49.0,0.0,0.0,2025-02-17,196000,209.63,144550,51450,55.03,P001,2950,49,2025-02-09,kg,0.0,Closed by cutoff,2025-02
B00064,P001,Olives,Sold Out,37,37.0,0.0,0.0,2025-02-28,148000,158.29,109150,38850,41.55,P001,2950,37,2025-02-20,kg,0.0,Closed by cutoff,2025-02
B00065,P001,Olives,Partial Loss,37,31.49,5.51,14.9,2025-04-15,125960,134.72,109150,16810,17.98,P001,2950,37,2025-03-01,kg,16254.5,Closed by cutoff,2025-03
B00066,P001,Olives,Sold Out,41,41.0,0.0,0.0,2025-03-19,164000,175.4,120950,43050,46.04,P001,2950,41,2025-03-10,kg,0.0,Closed by cutoff,2025-03
B00067,P001,Olives,Sold Out,50,50.0,0.0,0.0,2025-03-26,200000,213.9,147500,52500,56.15,P001,2950,50,2025-03-19,kg,0.0,Closed by cutoff,2025-03
B00068,P001,Olives,Partial Loss,47,39.29,7.71,16.4,2025-05-10,157160,168.09,138650,18510,19.8,P001,2950,47,2025-03-26,kg,22744.5,Closed by cutoff,2025-03
B00069,P001,Olives,Partial Loss,15,11.51,3.5,23.3,2025-05-21,46040,49.24,44250,1790,1.91,P001,2950,15,2025-04-06,kg,10325.0,Closed by cutoff,2025-04
B00070,P001,Olives,Sold Out,16,16.0,0.0,0.0,2025-04-25,64000,68.45,47200,16800,17.97,P001,2950,16,2025-04-14,kg,0.0,Closed by cutoff,2025-04
B00071,P001,Olives,Partial Loss,16,13.04,2.96,18.5,2025-06-08,52160,55.79,47200,4960,5.3,P001,2950,16,2025-04-24,kg,8732.0,Closed by cutoff,2025-04
B00072,P001,Olives,Partial Loss,18,14.72,3.28,18.2,2025-06-16,58880,62.97,53100,5780,6.18,P001,2950,18,2025-05-02,kg,9676.0,Closed by cutoff,2025-05
B00073,P001,Olives,Partial Loss,18,13.99,4.01,22.3,2025-06-27,55960,59.85,53100,2860,3.06,P001,2950,18,2025-05-13,kg,11829.5,Closed by cutoff,2025-05
B00074,P001,Olives,Partial Loss,18,14.22,3.78,21.0,2025-07-05,56880,60.83,53100,3780,4.04,P001,2950,18,2025-05-21,kg,11151.0,After cutoff,2025-05
B00075,P001,Olives,Partial Loss,15,11.13,3.87,25.8,2025-07-15,44520,47.61,44250,270,0.29,P001,2950,15,2025-05-31,kg,11416.5,After cutoff,2025-05
B00076,P001,Olives,Partial Loss,15,13.08,1.92,12.8,2025-07-27,52320,55.96,44250,8070,8.63,P001,2950,15,2025-06-12,kg,5664.0,After cutoff,2025-06
B00077,P001,Olives,Sold Out,15,15.0,0.0,0.0,2025-06-28,60000,64.17,44250,15750,16.84,P001,2950,15,2025-06-21,kg,0.0,Closed by cutoff,2025-06
B00078,P001,Olives,Sold Out,16,16.0,0.0,0.0,2025-07-06,64000,68.45,47200,16800,17.97,P001,2950,16,2025-06-29,kg,0.0,After cutoff,2025-06
B00079,P002,Olives,Partial Loss,15,12.78,2.22,14.8,2023-08-24,44730,47.84,37500,7230,7.73,P002,2500,15,2023-07-10,kg,5550.000000000001,Closed by cutoff,2023-07
B00080,P002,Olives,Sold Out,15,15.0,0.0,0.0,2023-07-29,52500,56.15,40500,12000,12.83,P002,2700,15,2023-07-17,kg,0.0,Closed by cutoff,2023-07
B00081,P002,Olives,Partial Loss,15,12.48,2.52,16.8,2023-09-10,43680,46.72,37500,6180,6.61,P002,2500,15,2023-07-27,kg,6300.0,Closed by cutoff,2023-07
B00082,P002,Olives,Partial Loss,15,10.58,4.42,29.5,2023-09-17,37030,39.6,37500,-470,-0.5,P002,2500,15,2023-08-03,kg,11050.0,Closed by cutoff,2023-08
B00083,P002,Olives,Sold Out,17,17.0,0.0,0.0,2023-08-18,59500,63.64,42500,17000,18.18,P002,2500,17,2023-08-12,kg,0.0,Closed by cutoff,2023-08
B00084,P002,Olives,Partial Loss,17,15.08,1.92,11.3,2023-10-09,52780,56.45,42500,10280,10.99,P002,2500,17,2023-08-25,kg,4800.0,Closed by cutoff,2023-08
B00085,P002,Olives,Sold Out,19,19.0,0.0,0.0,2023-09-09,66500,71.12,47500,19000,20.32,P002,2500,19,2023-09-04,kg,0.0,Closed by cutoff,2023-09
B00086,P002,Olives,Sold Out,19,19.0,0.0,0.0,2023-09-24,66500,71.12,47500,19000,20.32,P002,2500,19,2023-09-17,kg,0.0,Closed by cutoff,2023-09
B00087,P002,Olives,Partial Loss,18,15.16,2.84,15.8,2023-11-13,53060,56.75,45000,8060,8.62,P002,2500,18,2023-09-29,kg,7100.0,Closed by cutoff,2023-09
B00088,P002,Olives,Sold Out,35,35.0,0.0,0.0,2023-10-17,122500,131.02,94500,28000,29.95,P002,2700,35,2023-10-10,kg,0.0,Closed by cutoff,2023-10
B00089,P002,Olives,Sold Out,45,45.0,0.0,0.0,2023-10-26,157500,168.45,112500,45000,48.13,P002,2500,45,2023-10-18,kg,0.0,Closed by cutoff,2023-10
B00090,P002,Olives,Sold Out,36,36.0,0.0,0.0,2023-11-02,126000,134.76,90000,36000,38.5,P002,2500,36,2023-10-27,kg,0.0,Closed by cutoff,2023-10
B00091,P002,Olives,Sold Out,37,37.0,0.0,0.0,2023-11-15,129500,138.5,92500,37000,39.57,P002,2500,37,2023-11-07,kg,0.0,Closed by cutoff,2023-11
B00092,P002,Olives,Partial Loss,42,37.21,4.79,11.4,2024-01-02,130235,139.29,105000,25235,26.99,P002,2500,42,2023-11-18,kg,11975.0,Closed by cutoff,2023-11
B00093,P002,Olives,Sold Out,42,42.0,0.0,0.0,2023-12-14,147000,157.22,105000,42000,44.92,P002,2500,42,2023-11-29,kg,0.0,Closed by cutoff,2023-11
B00094,P002,Olives,Sold Out,49,49.0,0.0,0.0,2023-12-18,171500,183.42,122500,49000,52.41,P002,2500,49,2023-12-09,kg,0.0,Closed by cutoff,2023-12
B00095,P002,Olives,Sold Out,54,54.0,0.0,0.0,2023-12-22,189000,202.14,135000,54000,57.75,P002,2500,54,2023-12-17,kg,0.0,Closed by cutoff,2023-12
B00096,P002,Olives,Sold Out,59,59.0,0.0,0.0,2024-01-02,206500,220.86,147500,59000,63.1,P002,2500,59,2023-12-29,kg,0.0,Closed by cutoff,2023-12
B00097,P002,Olives,Sold Out,37,37.0,0.0,0.0,2024-01-14,129500,138.5,92500,37000,39.57,P002,2500,37,2024-01-06,kg,0.0,Closed by cutoff,2024-01
B00098,P002,Olives,Sold Out,36,36.0,0.0,0.0,2024-01-22,126000,134.76,90000,36000,38.5,P002,2500,36,2024-01-17,kg,0.0,Closed by cutoff,2024-01
B00099,P002,Olives,Sold Out,39,39.0,0.0,0.0,2024-02-06,136500,145.99,97500,39000,41.71,P002,2500,39,2024-01-28,kg,0.0,Closed by cutoff,2024-01
B00100,P002,Olives,Sold Out,37,37.0,0.0,0.0,2024-02-15,129500,138.5,92500,37000,39.57,P002,2500,37,2024-02-09,kg,0.0,Closed by cutoff,2024-02
B00101,P002,Olives,Partial Loss,37,31.45,5.55,15.0,2024-04-02,110075,117.73,99900,10175,10.88,P002,2700,37,2024-02-17,kg,14985.0,Closed by cutoff,2024-02
B00102,P002,Olives,Partial Loss,40,33.48,6.52,16.3,2024-04-12,117180,125.33,100000,17180,18.37,P002,2500,40,2024-02-27,kg,16299.999999999998,Closed by cutoff,2024-02
B00103,P002,Olives,Partial Loss,38,33.02,4.98,13.1,2024-04-23,115570,123.6,95000,20570,22.0,P002,2500,38,2024-03-09,kg,12450.000000000002,Closed by cutoff,2024-03
B00104,P002,Olives,Sold Out,43,43.0,0.0,0.0,2024-03-25,150500,160.96,107500,43000,45.99,P002,2500,43,2024-03-17,kg,0.0,Closed by cutoff,2024-03
B00105,P002,Olives,Sold Out,35,35.0,0.0,0.0,2024-03-29,122500,131.02,87500,35000,37.43,P002,2500,35,2024-03-27,kg,0.0,Closed by cutoff,2024-03
B00106,P002,Olives,Partial Loss,17,12.31,4.69,27.6,2024-05-21,43085,46.08,42500,585,0.63,P002,2500,17,2024-04-06,kg,11725.000000000002,Closed by cutoff,2024-04
B00107,P002,Olives,Partial Loss,16,13.14,2.86,17.9,2024-05-28,45990,49.19,40000,5990,6.41,P002,2500,16,2024-04-13,kg,7150.0,Closed by cutoff,2024-04
B00108,P002,Olives,Partial Loss,13,11.88,1.12,8.6,2024-06-05,41580,44.47,32500,9080,9.71,P002,2500,13,2024-04-21,kg,2800.0000000000005,Closed by cutoff,2024-04
B00109,P002,Olives,Partial Loss,15,10.25,4.75,31.7,2024-06-14,35875,38.37,37500,-1625,-1.74,P002,2500,15,2024-04-30,kg,11875.0,Closed by cutoff,2024-04
B00110,P002,Olives,Partial Loss,17,13.7,3.3,19.4,2024-06-21,47950,51.28,42500,5450,5.83,P002,2500,17,2024-05-07,kg,8250.0,Closed by cutoff,2024-05
B00111,P002,Olives,Partial Loss,14,10.19,3.81,27.2,2024-07-01,35665,38.14,35000,665,0.71,P002,2500,14,2024-05-17,kg,9525.0,Closed by cutoff,2024-05
B00112,P002,Olives,Partial Loss,14,9.83,4.17,29.8,2024-07-11,34405,36.8,35000,-595,-0.64,P002,2500,14,2024-05-27,kg,10425.0,Closed by cutoff,2024-05
B00113,P002,Olives,Sold Out,16,16.0,0.0,0.0,2024-06-10,56000,59.89,40000,16000,17.11,P002,2500,16,2024-06-04,kg,0.0,Closed by cutoff,2024-06
B00114,P002,Olives,Sold Out,17,17.0,0.0,0.0,2024-06-16,59500,63.64,42500,17000,18.18,P002,2500,17,2024-06-10,kg,0.0,Closed by cutoff,2024-06
B00115,P002,Olives,Sold Out,14,14.0,0.0,0.0,2024-06-24,49000,52.41,35000,14000,14.97,P002,2500,14,2024-06-20,kg,0.0,Closed by cutoff,2024-06
B00116,P002,Olives,Sold Out,16,16.0,0.0,0.0,2024-07-03,56000,59.89,40000,16000,17.11,P002,2500,16,2024-07-01,kg,0.0,Closed by cutoff,2024-07
B00117,P002,Olives,Partial Loss,13,10.79,2.21,17.0,2024-08-25,37765,40.39,32500,5265,5.63,P002,2500,13,2024-07-11,kg,5525.0,Closed by cutoff,2024-07
B00118,P002,Olives,Sold Out,16,16.0,0.0,0.0,2024-07-28,56000,59.89,40000,16000,17.11,P002,2500,16,2024-07-20,kg,0.0,Closed by cutoff,2024-07
B00119,P002,Olives,Partial Loss,16,13.89,2.11,13.2,2024-09-15,48615,51.99,40000,8615,9.21,P002,2500,16,2024-08-01,kg,5275.0,Closed by cutoff,2024-08
B00120,P002,Olives,Partial Loss,13,10.44,2.56,19.7,2024-09-25,36540,39.08,32500,4040,4.32,P002,2500,13,2024-08-11,kg,6400.0,Closed by cutoff,2024-08
B00121,P002,Olives,Partial Loss,15,10.94,4.07,27.1,2024-10-05,38290,40.95,37500,790,0.84,P002,2500,15,2024-08-21,kg,10175.0,Closed by cutoff,2024-08
B00122,P002,Olives,Partial Loss,14,10.35,3.65,26.1,2024-10-15,36225,38.74,35000,1225,1.31,P002,2500,14,2024-08-31,kg,9125.0,Closed by cutoff,2024-08
B00123,P002,Olives,Sold Out,18,18.0,0.0,0.0,2024-09-20,63000,67.38,45000,18000,19.25,P002,2500,18,2024-09-10,kg,0.0,Closed by cutoff,2024-09
B00124,P002,Olives,Partial Loss,19,14.54,4.46,23.5,2024-11-02,50890,54.43,51300,-410,-0.44,P002,2700,19,2024-09-18,kg,12042.0,Closed by cutoff,2024-09
B00125,P002,Olives,Sold Out,19,19.0,0.0,0.0,2024-10-08,66500,71.12,47500,19000,20.32,P002,2500,19,2024-09-27,kg,0.0,Closed by cutoff,2024-09
B00126,P002,Olives,Sold Out,36,36.0,0.0,0.0,2024-10-08,126000,134.76,90000,36000,38.5,P002,2500,36,2024-10-04,kg,0.0,Closed by cutoff,2024-10
B00127,P002,Olives,Sold Out,40,40.0,0.0,0.0,2024-10-22,140000,149.73,100000,40000,42.78,P002,2500,40,2024-10-12,kg,0.0,Closed by cutoff,2024-10
B00128,P002,Olives,Sold Out,35,35.0,0.0,0.0,2024-10-30,122500,131.02,87500,35000,37.43,P002,2500,35,2024-10-22,kg,0.0,Closed by cutoff,2024-10
B00129,P002,Olives,Sold Out,46,46.0,0.0,0.0,2024-11-08,161000,172.19,115000,46000,49.2,P002,2500,46,2024-11-01,kg,0.0,Closed by cutoff,2024-11
B00130,P002,Olives,Sold Out,37,37.0,0.0,0.0,2024-11-18,129500,138.5,92500,37000,39.57,P002,2500,37,2024-11-10,kg,0.0,Closed by cutoff,2024-11
B00131,P002,Olives,Sold Out,45,45.0,0.0,0.0,2024-11-30,157500,168.45,112500,45000,48.13,P002,2500,45,2024-11-20,kg,0.0,Closed by cutoff,2024-11
B00132,P002,Olives,Sold Out,44,44.0,0.0,0.0,2024-12-13,154000,164.71,118800,35200,37.65,P002,2700,44,2024-11-30,kg,0.0,Closed by cutoff,2024-11
B00133,P002,Olives,Sold Out,54,54.0,0.0,0.0,2024-12-16,189000,202.14,135000,54000,57.75,P002,2500,54,2024-12-08,kg,0.0,Closed by cutoff,2024-12
B00134,P002,Olives,Sold Out,57,57.0,0.0,0.0,2024-12-25,199500,213.37,142500,57000,60.96,P002,2500,57,2024-12-16,kg,0.0,Closed by cutoff,2024-12
B00135,P002,Olives,Sold Out,55,55.0,0.0,0.0,2024-12-31,192500,205.88,137500,55000,58.82,P002,2500,55,2024-12-25,kg,0.0,Closed by cutoff,2024-12
B00136,P002,Olives,Sold Out,40,40.0,0.0,0.0,2025-01-09,140000,149.73,100000,40000,42.78,P002,2500,40,2025-01-02,kg,0.0,Closed by cutoff,2025-01
B00137,P002,Olives,Sold Out,39,39.0,0.0,0.0,2025-01-19,136500,145.99,97500,39000,41.71,P002,2500,39,2025-01-11,kg,0.0,Closed by cutoff,2025-01
B00138,P002,Olives,Sold Out,39,39.0,0.0,0.0,2025-01-23,136500,145.99,97500,39000,41.71,P002,2500,39,2025-01-20,kg,0.0,Closed by cutoff,2025-01
B00139,P002,Olives,Sold Out,46,46.0,0.0,0.0,2025-02-03,161000,172.19,115000,46000,49.2,P002,2500,46,2025-01-31,kg,0.0,Closed by cutoff,2025-01
B00140,P002,Olives,Sold Out,49,49.0,0.0,0.0,2025-02-18,171500,183.42,122500,49000,52.41,P002,2500,49,2025-02-11,kg,0.0,Closed by cutoff,2025-02
B00141,P002,Olives,Sold Out,40,40.0,0.0,0.0,2025-02-27,140000,149.73,100000,40000,42.78,P002,2500,40,2025-02-22,kg,0.0,Closed by cutoff,2025-02
B00142,P002,Olives,Sold Out,43,43.0,0.0,0.0,2025-03-10,150500,160.96,107500,43000,45.99,P002,2500,43,2025-03-06,kg,0.0,Closed by cutoff,2025-03
B00143,P002,Olives,Sold Out,38,38.0,0.0,0.0,2025-03-24,133000,142.25,95000,38000,40.64,P002,2500,38,2025-03-16,kg,0.0,Closed by cutoff,2025-03
B00144,P002,Olives,Partial Loss,43,37.15,5.85,13.6,2025-05-09,130025,139.06,107500,22525,24.09,P002,2500,43,2025-03-25,kg,14625.0,Closed by cutoff,2025-03
B00145,P002,Olives,Partial Loss,16,12.11,3.89,24.3,2025-05-19,42385,45.33,40000,2385,2.55,P002,2500,16,2025-04-04,kg,9725.0,Closed by cutoff,2025-04
B00146,P002,Olives,Sold Out,14,14.0,0.0,0.0,2025-04-17,49000,52.41,37800,11200,11.98,P002,2700,14,2025-04-11,kg,0.0,Closed by cutoff,2025-04
B00147,P002,Olives,Sold Out,16,16.0,0.0,0.0,2025-04-26,56000,59.89,40000,16000,17.11,P002,2500,16,2025-04-18,kg,0.0,Closed by cutoff,2025-04
B00148,P002,Olives,Sold Out,17,17.0,0.0,0.0,2025-05-05,59500,63.64,42500,17000,18.18,P002,2500,17,2025-04-30,kg,0.0,Closed by cutoff,2025-04
