BatchID,ProductID,Product,Category,SupplierRole,SupplierID,SupplierName,PurchaseDate,Quantity,Unit,UnitCost_CLP,UnitCost_USD,BatchCost_CLP,BatchCost_USD,ExpiryDate,ExpiryType,Season
B00013,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-10-20,34,kg,2950,3.16,100300,107.27,2023-12-04,Estimated,Spring
B00014,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-10-30,34,kg,2950,3.16,100300,107.27,2023-12-14,Estimated,Spring
B00015,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-11-09,39,kg,2950,3.16,115050,123.05,2023-12-24,Estimated,Spring
B00016,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-11-18,35,kg,2950,3.16,103250,110.43,2024-01-02,Estimated,Spring
B00017,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-11-27,37,kg,2950,3.16,109150,116.74,2024-01-11,Estimated,Spring
B00018,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-12-09,48,kg,2950,3.16,141600,151.44,2024-01-23,Estimated,Summer
B00019,P001,"Olives 120/140 (extra large), brined",Olives,Backup,S002,Aceitunera Central SpA,2023-12-18,47,kg,3000,3.21,141000,150.8,2024-02-01,Estimated,Summer
B00020,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-12-27,53,kg,2950,3.16,156350,167.22,2024-02-10,Estimated,Summer
B00021,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-01-05,40,kg,2950,3.16,118000,126.2,2024-02-19,Estimated,Summer
B00022,P001,"Olives 120/140 (extra large), brined",Olives,Backup,S002,Aceitunera Central SpA,2024-01-15,41,kg,3000,3.21,123000,131.55,2024-02-29,Estimated,Summer
B00023,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-01-24,35,kg,2950,3.16,103250,110.43,2024-03-09,Estimated,Summer
B00024,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-02-01,35,kg,2950,3.16,103250,110.43,2024-03-17,Estimated,Summer
B00025,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-02-11,40,kg,2950,3.16,118000,126.2,2024-03-27,Estimated,Summer
B00026,P001,"Olives 120/140 (extra large), brined",Olives,Backup,S002,Aceitunera Central SpA,2024-02-20,45,kg,3000,3.21,135000,144.39,2024-04-05,Estimated,Summer
B00027,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-02-29,45,kg,2950,3.16,132750,141.98,2024-04-14,Estimated,Summer
B00028,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-03-10,46,kg,2950,3.16,135700,145.13,2024-04-24,Estimated,Autumn
B00029,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-03-21,35,kg,2950,3.16,103250,110.43,2024-05-05,Estimated,Autumn
B00030,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-03-31,34,kg,2950,3.16,100300,107.27,2024-05-15,Estimated,Autumn
B00031,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-04-09,13,kg,2950,3.16,38350,41.02,2024-05-24,Estimated,Autumn
B00032,P001,"Olives 120/140 (extra large), brined",Olives,Backup,S002,Aceitunera Central SpA,2024-04-20,14,kg,3000,3.21,42000,44.92,2024-06-04,Estimated,Autumn
B00033,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-04-29,16,kg,2950,3.16,47200,50.48,2024-06-13,Estimated,Autumn
B00034,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-05-09,15,kg,2950,3.16,44250,47.33,2024-06-23,Estimated,Autumn
B00035,P001,"Olives 120/140 (extra large), brined",Olives,Backup,S002,Aceitunera Central SpA,2024-05-18,13,kg,3000,3.21,39000,41.71,2024-07-02,Estimated,Autumn
B00036,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-05-27,15,kg,2950,3.16,44250,47.33,2024-07-11,Estimated,Autumn
B00037,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-06-04,15,kg,2950,3.16,44250,47.33,2024-07-19,Estimated,Winter
B00038,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-06-14,15,kg,2950,3.16,44250,47.33,2024-07-29,Estimated,Winter
B00039,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-06-21,13,kg,2950,3.16,38350,41.02,2024-08-05,Estimated,Winter
B00040,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-06-30,15,kg,2950,3.16,44250,47.33,2024-08-14,Estimated,Winter
B00041,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-07-11,15,kg,2950,3.16,44250,47.33,2024-08-25,Estimated,Winter
B00042,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-07-21,15,kg,2950,3.16,44250,47.33,2024-09-04,Estimated,Winter
B00043,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-07-31,14,kg,2950,3.16,41300,44.17,2024-09-14,Estimated,Winter
B00044,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-08-11,16,kg,2950,3.16,47200,50.48,2024-09-25,Estimated,Winter
B00045,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-08-22,14,kg,2950,3.16,41300,44.17,2024-10-06,Estimated,Winter
B00046,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-09-02,21,kg,2950,3.16,61950,66.26,2024-10-17,Estimated,Spring
B00047,P001,"Olives 120/140 (extra large), brined",Olives,Backup,S002,Aceitunera Central SpA,2024-09-11,19,kg,3000,3.21,57000,60.96,2024-10-26,Estimated,Spring
B00048,P001,"Olives 120/140 (extra large), brined",Olives,Backup,S002,Aceitunera Central SpA,2024-09-20,19,kg,3000,3.21,57000,60.96,2024-11-04,Estimated,Spring
B00049,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-10-01,36,kg,2950,3.16,106200,113.58,2024-11-15,Estimated,Spring
B00050,P001,"Olives 120/140 (extra large), brined",Olives,Backup,S002,Aceitunera Central SpA,2024-10-10,36,kg,3000,3.21,108000,115.51,2024-11-24,Estimated,Spring
B00051,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-10-17,39,kg,2950,3.16,115050,123.05,2024-12-01,Estimated,Spring
B00052,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-10-27,43,kg,2950,3.16,126850,135.67,2024-12-11,Estimated,Spring
B00053,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-11-04,41,kg,2950,3.16,120950,129.36,2024-12-19,Estimated,Spring
B00054,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-11-14,38,kg,2950,3.16,112100,119.89,2024-12-29,Estimated,Spring
B00055,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-11-27,46,kg,2950,3.16,135700,145.13,2025-01-11,Estimated,Spring
B00056,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-12-05,59,kg,2950,3.16,174050,186.15,2025-01-19,Estimated,Summer
B00057,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-12-13,53,kg,2950,3.16,156350,167.22,2025-01-27,Estimated,Summer
B00058,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-12-22,52,kg,2950,3.16,153400,164.06,2025-02-05,Estimated,Summer
B00059,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-01-01,41,kg,2950,3.16,120950,129.36,2025-02-15,Estimated,Summer
B00060,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-01-11,43,kg,2950,3.16,126850,135.67,2025-02-25,Estimated,Summer
B00061,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-01-22,44,kg,2950,3.16,129800,138.82,2025-03-08,Estimated,Summer
B00062,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-01-28,39,kg,2950,3.16,115050,123.05,2025-03-14,Estimated,Summer
B00063,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-02-09,49,kg,2950,3.16,144550,154.6,2025-03-26,Estimated,Summer
B00064,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-02-20,37,kg,2950,3.16,109150,116.74,2025-04-06,Estimated,Summer
B00065,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-03-01,37,kg,2950,3.16,109150,116.74,2025-04-15,Estimated,Autumn
B00066,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-03-10,41,kg,2950,3.16,120950,129.36,2025-04-24,Estimated,Autumn
B00067,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-03-19,50,kg,2950,3.16,147500,157.75,2025-05-03,Estimated,Autumn
B00068,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-03-26,47,kg,2950,3.16,138650,148.29,2025-05-10,Estimated,Autumn
B00069,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-04-06,15,kg,2950,3.16,44250,47.33,2025-05-21,Estimated,Autumn
B00070,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-04-14,16,kg,2950,3.16,47200,50.48,2025-05-29,Estimated,Autumn
B00071,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-04-24,16,kg,2950,3.16,47200,50.48,2025-06-08,Estimated,Autumn
B00072,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-05-02,18,kg,2950,3.16,53100,56.79,2025-06-16,Estimated,Autumn
B00073,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-05-13,18,kg,2950,3.16,53100,56.79,2025-06-27,Estimated,Autumn
B00074,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-05-21,18,kg,2950,3.16,53100,56.79,2025-07-05,Estimated,Autumn
B00075,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-05-31,15,kg,2950,3.16,44250,47.33,2025-07-15,Estimated,Autumn
B00076,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-06-12,15,kg,2950,3.16,44250,47.33,2025-07-27,Estimated,Winter
B00077,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-06-21,15,kg,2950,3.16,44250,47.33,2025-08-05,Estimated,Winter
B00078,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-06-29,16,kg,2950,3.16,47200,50.48,2025-08-13,Estimated,Winter
B00079,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-07-10,15,kg,2500,2.67,37500,40.11,2023-08-24,Estimated,Winter
B00080,P002,"Olives 140/160 (large), brined",Olives,Backup,S002,Aceitunera Central SpA,2023-07-17,15,kg,2700,2.89,40500,43.32,2023-08-31,Estimated,Winter
B00081,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-07-27,15,kg,2500,2.67,37500,40.11,2023-09-10,Estimated,Winter
B00082,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-08-03,15,kg,2500,2.67,37500,40.11,2023-09-17,Estimated,Winter
B00083,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-08-12,17,kg,2500,2.67,42500,45.45,2023-09-26,Estimated,Winter
B00084,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-08-25,17,kg,2500,2.67,42500,45.45,2023-10-09,Estimated,Winter
B00085,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-09-04,19,kg,2500,2.67,47500,50.8,2023-10-19,Estimated,Spring
B00086,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-09-17,19,kg,2500,2.67,47500,50.8,2023-11-01,Estimated,Spring
B00087,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-09-29,18,kg,2500,2.67,45000,48.13,2023-11-13,Estimated,Spring
B00088,P002,"Olives 140/160 (large), brined",Olives,Backup,S002,Aceitunera Central SpA,2023-10-10,35,kg,2700,2.89,94500,101.07,2023-11-24,Estimated,Spring
B00089,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-10-18,45,kg,2500,2.67,112500,120.32,2023-12-02,Estimated,Spring
B00090,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-10-27,36,kg,2500,2.67,90000,96.26,2023-12-11,Estimated,Spring
B00091,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-11-07,37,kg,2500,2.67,92500,98.93,2023-12-22,Estimated,Spring
B00092,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-11-18,42,kg,2500,2.67,105000,112.3,2024-01-02,Estimated,Spring
B00093,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-11-29,42,kg,2500,2.67,105000,112.3,2024-01-13,Estimated,Spring
B00094,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-12-09,49,kg,2500,2.67,122500,131.02,2024-01-23,Estimated,Summer
B00095,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-12-17,54,kg,2500,2.67,135000,144.39,2024-01-31,Estimated,Summer
B00096,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-12-29,59,kg,2500,2.67,147500,157.75,2024-02-12,Estimated,Summer
B00097,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-01-06,37,kg,2500,2.67,92500,98.93,2024-02-20,Estimated,Summer
B00098,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-01-17,36,kg,2500,2.67,90000,96.26,2024-03-02,Estimated,Summer
B00099,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-01-28,39,kg,2500,2.67,97500,104.28,2024-03-13,Estimated,Summer
B00100,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-02-09,37,kg,2500,2.67,92500,98.93,2024-03-25,Estimated,Summer
B00101,P002,"Olives 140/160 (large), brined",Olives,Backup,S002,Aceitunera Central SpA,2024-02-17,37,kg,2700,2.89,99900,106.84,2024-04-02,Estimated,Summer
B00102,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-02-27,40,kg,2500,2.67,100000,106.95,2024-04-12,Estimated,Summer
B00103,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-03-09,38,kg,2500,2.67,95000,101.6,2024-04-23,Estimated,Autumn
B00104,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-03-17,43,kg,2500,2.67,107500,114.97,2024-05-01,Estimated,Autumn
B00105,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-03-27,35,kg,2500,2.67,87500,93.58,2024-05-11,Estimated,Autumn
B00106,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-04-06,17,kg,2500,2.67,42500,45.45,2024-05-21,Estimated,Autumn
B00107,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-04-13,16,kg,2500,2.67,40000,42.78,2024-05-28,Estimated,Autumn
B00108,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-04-21,13,kg,2500,2.67,32500,34.76,2024-06-05,Estimated,Autumn
B00109,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-04-30,15,kg,2500,2.67,37500,40.11,2024-06-14,Estimated,Autumn
B00110,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-05-07,17,kg,2500,2.67,42500,45.45,2024-06-21,Estimated,Autumn
B00111,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-05-17,14,kg,2500,2.67,35000,37.43,2024-07-01,Estimated,Autumn
B00112,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-05-27,14,kg,2500,2.67,35000,37.43,2024-07-11,Estimated,Autumn
B00113,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-06-04,16,kg,2500,2.67,40000,42.78,2024-07-19,Estimated,Winter
B00114,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-06-10,17,kg,2500,2.67,42500,45.45,2024-07-25,Estimated,Winter
B00115,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-06-20,14,kg,2500,2.67,35000,37.43,2024-08-04,Estimated,Winter
B00116,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-07-01,16,kg,2500,2.67,40000,42.78,2024-08-15,Estimated,Winter
B00117,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-07-11,13,kg,2500,2.67,32500,34.76,2024-08-25,Estimated,Winter
B00118,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-07-20,16,kg,2500,2.67,40000,42.78,2024-09-03,Estimated,Winter
B00119,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-08-01,16,kg,2500,2.67,40000,42.78,2024-09-15,Estimated,Winter
B00120,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-08-11,13,kg,2500,2.67,32500,34.76,2024-09-25,Estimated,Winter
B00121,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-08-21,15,kg,2500,2.67,37500,40.11,2024-10-05,Estimated,Winter
B00122,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-08-31,14,kg,2500,2.67,35000,37.43,2024-10-15,Estimated,Winter
B00123,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-09-10,18,kg,2500,2.67,45000,48.13,2024-10-25,Estimated,Spring
B00124,P002,"Olives 140/160 (large), brined",Olives,Backup,S002,Aceitunera Central SpA,2024-09-18,19,kg,2700,2.89,51300,54.87,2024-11-02,Estimated,Spring
B00125,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-09-27,19,kg,2500,2.67,47500,50.8,2024-11-11,Estimated,Spring
B00126,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-10-04,36,kg,2500,2.67,90000,96.26,2024-11-18,Estimated,Spring
B00127,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-10-12,40,kg,2500,2.67,100000,106.95,2024-11-26,Estimated,Spring
B00128,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-10-22,35,kg,2500,2.67,87500,93.58,2024-12-06,Estimated,Spring
B00129,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-11-01,46,kg,2500,2.67,115000,122.99,2024-12-16,Estimated,Spring
B00130,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-11-10,37,kg,2500,2.67,92500,98.93,2024-12-25,Estimated,Spring
B00131,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-11-20,45,kg,2500,2.67,112500,120.32,2025-01-04,Estimated,Spring
B00132,P002,"Olives 140/160 (large), brined",Olives,Backup,S002,Aceitunera Central SpA,2024-11-30,44,kg,2700,2.89,118800,127.06,2025-01-14,Estimated,Spring
B00133,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-12-08,54,kg,2500,2.67,135000,144.39,2025-01-22,Estimated,Summer
B00134,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-12-16,57,kg,2500,2.67,142500,152.41,2025-01-30,Estimated,Summer
B00135,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2024-12-25,55,kg,2500,2.67,137500,147.06,2025-02-08,Estimated,Summer
B00136,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-01-02,40,kg,2500,2.67,100000,106.95,2025-02-16,Estimated,Summer
B00137,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-01-11,39,kg,2500,2.67,97500,104.28,2025-02-25,Estimated,Summer
B00138,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-01-20,39,kg,2500,2.67,97500,104.28,2025-03-06,Estimated,Summer
B00139,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-01-31,46,kg,2500,2.67,115000,122.99,2025-03-17,Estimated,Summer
B00140,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-02-11,49,kg,2500,2.67,122500,131.02,2025-03-28,Estimated,Summer
B00141,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-02-22,40,kg,2500,2.67,100000,106.95,2025-04-08,Estimated,Summer
B00142,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-03-06,43,kg,2500,2.67,107500,114.97,2025-04-20,Estimated,Autumn
B00143,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-03-16,38,kg,2500,2.67,95000,101.6,2025-04-30,Estimated,Autumn
B00144,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-03-25,43,kg,2500,2.67,107500,114.97,2025-05-09,Estimated,Autumn
B00145,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-04-04,16,kg,2500,2.67,40000,42.78,2025-05-19,Estimated,Autumn
B00146,P002,"Olives 140/160 (large), brined",Olives,Backup,S002,Aceitunera Central SpA,2025-04-11,14,kg,2700,2.89,37800,40.43,2025-05-26,Estimated,Autumn
B00147,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-04-18,16,kg,2500,2.67,40000,42.78,2025-06-02,Estimated,Autumn
B00148,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-04-30,17,kg,2500,2.67,42500,45.45,2025-06-14,Estimated,Autumn
B00149,P002,"Olives 140/160 (large), brined",Olives,Backup,S002,Aceitunera Central SpA,2025-05-12,15,kg,2700,2.89,40500,43.32,2025-06-26,Estimated,Autumn
B00150,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-05-22,19,kg,2500,2.67,47500,50.8,2025-07-06,Estimated,Autumn
B00151,P002,"Olives 140/160 (large), brined",Olives,Backup,S002,Aceitunera Central SpA,2025-06-01,18,kg,2700,2.89,48600,51.98,2025-07-16,Estimated,Winter
B00152,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-06-11,18,kg,2500,2.67,45000,48.13,2025-07-26,Estimated,Winter
B00153,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2025-06-20,18,kg,2500,2.67,45000,48.13,2025-08-04,Estimated,Winter
