SupplyID,ProductID,Product,Category,Essential,SupplierRole,SupplierID,SupplierName,PurchasePrice_CLP,PurchasePrice_USD,PriceType,PurchaseUnit,LeadTime_Days,HasDelivery,SalePrice_CLP,SalePrice_USD,Margin_CLP_thisLink,Margin_Pct_thisLink
SUP0050,P025,"Sliced green chili, bag 200g",Chili,No,Backup,S008,Merken del Sur,1150,1.23,By Unit/Package,bag 200g,7,Yes,1500,1.6,350,0.23333333333333334
SUP0051,P026,"Dried cacho de cabra chili, bag 50g",Chili,No,Primary,S007,Curico Chili & Sauces,1100,1.18,By Unit/Package,bag 50g,2,No,1500,1.6,400,0.26666666666666666
SUP0052,P026,"Dried cacho de cabra chili, bag 50g",Chili,No,Backup,S008,Merken del Sur,1100,1.18,By Unit/Package,bag 50g,3,Yes,1500,1.6,400,0.26666666666666666
SUP0053,P027,"Ground panca chili, bag 100g",Chili,No,Primary,S007,Curico Chili & Sauces,1450,1.55,By Unit/Package,bag 100g,3,No,2000,2.14,550,0.275
SUP0054,P027,"Ground panca chili, bag 100g",Chili,No,Backup,S008,Merken del Sur,1400,1.5,By Unit/Package,bag 100g,3,Yes,2000,2.14,600,0.3
SUP0055,P028,"Merken (smoked chili), bag 100g",Chili,No,Primary,S007,Curico Chili & Sauces,1350,1.44,By Unit/Package,bag 100g,3,No,2000,2.14,650,0.325
SUP0056,P028,"Merken (smoked chili), bag 100g",Chili,No,Backup,S008,Merken del Sur,1500,1.6,By Unit/Package,bag 100g,7,Yes,2000,2.14,500,0.25
SUP0057,P029,"Whole dried red chili, bag 100g",Chili,No,Primary,S007,Curico Chili & Sauces,1400,1.5,By Unit/Package,bag 100g,1,No,2000,2.14,600,0.3
SUP0058,P029,"Whole dried red chili, bag 100g",Chili,No,Backup,S008,Merken del Sur,1500,1.6,By Unit/Package,bag 100g,7,Yes,2000,2.14,500,0.25
SUP0059,P030,"All-purpose seasoning, bag 100g",Seasonings,Yes,Primary,S009,Valley Spices SpA,1050,1.12,By Unit/Package,bag 100g,0,Yes,1500,1.6,450,0.3
SUP0060,P030,"All-purpose seasoning, bag 100g",Seasonings,Yes,Backup,S010,Especias Andinas,1050,1.12,By Unit/Package,bag 100g,2,Yes,1500,1.6,450,0.3
SUP0061,P031,"Ground cumin, bag 100g",Seasonings,Yes,Primary,S009,Valley Spices SpA,1050,1.12,By Unit/Package,bag 100g,2,Yes,1500,1.6,450,0.3
SUP0062,P031,"Ground cumin, bag 100g",Seasonings,Yes,Backup,S010,Especias Andinas,1050,1.12,By Unit/Package,bag 100g,2,Yes,1500,1.6,450,0.3
SUP0063,P032,"Oregano, bag 50g",Seasonings,No,Primary,S009,Valley Spices SpA,700,0.75,By Unit/Package,bag 50g,2,Yes,1000,1.07,300,0.3
SUP0064,P032,"Oregano, bag 50g",Seasonings,No,Backup,S010,Especias Andinas,700,0.75,By Unit/Package,bag 50g,3,Yes,1000,1.07,300,0.3
SUP0065,P033,"Ground pepper, bag 100g",Seasonings,No,Primary,S009,Valley Spices SpA,1450,1.55,By Unit/Package,bag 100g,3,Yes,2000,2.14,550,0.275
SUP0066,P033,"Ground pepper, bag 100g",Seasonings,No,Backup,S010,Especias Andinas,1350,1.44,By Unit/Package,bag 100g,7,Yes,2000,2.14,650,0.325
SUP0067,P034,"Bay leaves, bag 50g",Seasonings,No,Primary,S009,Valley Spices SpA,650,0.7,By Unit/Package,bag 50g,2,Yes,1000,1.07,350,0.35
SUP0068,P034,"Bay leaves, bag 50g",Seasonings,No,Backup,S010,Especias Andinas,650,0.7,By Unit/Package,bag 50g,3,Yes,1000,1.07,350,0.35
SUP0069,P035,"Paprika, bag 100g",Seasonings,No,Primary,S009,Valley Spices SpA,1050,1.12,By Unit/Package,bag 100g,0,Yes,1500,1.6,450,0.3
SUP0070,P035,"Paprika, bag 100g",Seasonings,No,Backup,S010,Especias Andinas,1000,1.07,By Unit/Package,bag 100g,5,Yes,1500,1.6,500,0.3333333333333333
SUP0071,P036,"Garlic powder, bag 100g",Seasonings,No,Primary,S009,Valley Spices SpA,1050,1.12,By Unit/Package,bag 100g,1,Yes,1500,1.6,450,0.3
SUP0072,P036,"Garlic powder, bag 100g",Seasonings,No,Backup,S010,Especias Andinas,1050,1.12,By Unit/Package,bag 100g,5,Yes,1500,1.6,450,0.3
SUP0073,P037,"Curry powder, bag 100g",Seasonings,No,Primary,S009,Valley Spices SpA,1000,1.07,By Unit/Package,bag 100g,1,Yes,1500,1.6,500,0.3333333333333333
SUP0074,P037,"Curry powder, bag 100g",Seasonings,No,Backup,S010,Especias Andinas,1000,1.07,By Unit/Package,bag 100g,3,Yes,1500,1.6,500,0.3333333333333333
SUP0075,P038,"Ground cinnamon, bag 100g",Seasonings,No,Primary,S009,Valley Spices SpA,1050,1.12,By Unit/Package,bag 100g,1,Yes,1500,1.6,450,0.3
SUP0076,P038,"Ground cinnamon, bag 100g",Seasonings,No,Backup,S010,Especias Andinas,1100,1.18,By Unit/Package,bag 100g,7,Yes,1500,1.6,400,0.26666666666666666
SUP0077,P039,"Ground turmeric, bag 100g",Seasonings,No,Primary,S009,Valley Spices SpA,1050,1.12,By Unit/Package,bag 100g,1,Yes,1500,1.6,450,0.3
SUP0078,P039,"Ground turmeric, bag 100g",Seasonings,No,Backup,S010,Especias Andinas,1100,1.18,By Unit/Package,bag 100g,3,Yes,1500,1.6,400,0.26666666666666666
SUP0079,P040,"Herbs de Provence mix, bag 50g",Seasonings,No,Primary,S009,Valley Spices SpA,1350,1.44,By Unit/Package,bag 50g,5,Yes,2000,2.14,650,0.325
SUP0080,P040,"Herbs de Provence mix, bag 50g",Seasonings,No,Backup,S010,Especias Andinas,1450,1.55,By Unit/Package,bag 50g,5,Yes,2000,2.14,550,0.275
SUP0081,P041,"Multiflora honey, bottle 500g",Honey,Yes,Primary,S011,Los Ulmos Apiary,3150,3.37,By Unit/Package,bottle 500g,0,No,4500,4.81,1350,0.3
SUP0082,P041,"Multiflora honey, bottle 500g",Honey,Yes,Backup,S012,Miel Nativa Ltda.,3350,3.58,By Unit/Package,bottle 500g,5,Yes,4500,4.81,1150,0.25555555555555554
SUP0083,P042,"Ulmo honey, bottle 500g",Honey,No,Primary,S011,Los Ulmos Apiary,4000,4.28,By Unit/Package,bottle 500g,2,No,5500,5.88,1500,0.2727272727272727
SUP0084,P042,"Ulmo honey, bottle 500g",Honey,No,Backup,S012,Miel Nativa Ltda.,4050,4.33,By Unit/Package,bottle 500g,2,Yes,5500,5.88,1450,0.2636363636363636
SUP0085,P043,"Quillay honey, bottle 500g",Honey,No,Primary,S011,Los Ulmos Apiary,3450,3.69,By Unit/Package,bottle 500g,5,No,5000,5.35,1550,0.31
SUP0086,P043,"Quillay honey, bottle 500g",Honey,No,Backup,S012,Miel Nativa Ltda.,3750,4.01,By Unit/Package,bottle 500g,2,Yes,5000,5.35,1250,0.25
SUP0087,P044,"Organic wildflower honey, bottle 500g",Honey,No,Primary,S011,Los Ulmos Apiary,4100,4.39,By Unit/Package,bottle 500g,3,No,6000,6.42,1900,0.31666666666666665
SUP0088,P044,"Organic wildflower honey, bottle 500g",Honey,No,Backup,S012,Miel Nativa Ltda.,4450,4.76,By Unit/Package,bottle 500g,3,Yes,6000,6.42,1550,0.25833333333333336
SUP0089,P045,"Honeycomb, box 400g",Honey,No,Primary,S011,Los Ulmos Apiary,4700,5.03,By Unit/Package,box 400g,1,No,6500,6.95,1800,0.27692307692307694
SUP0090,P045,"Honeycomb, box 400g",Honey,No,Backup,S012,Miel Nativa Ltda.,4700,5.03,By Unit/Package,box 400g,7,Yes,6500,6.95,1800,0.27692307692307694
SUP0091,P046,Roasted salted peanuts,Peanuts,Yes,Primary,S013,Maipo Nuts Ltd.,4750,5.08,By Weight (kg),kg,1,Yes,6500,6.95,1750,0.2692307692307692
SUP0092,P046,Roasted salted peanuts,Peanuts,Yes,Backup,S014,El Palomo Nuts,5100,5.45,By Weight (kg),kg,7,Yes,6500,6.95,1400,0.2153846153846154
SUP0093,P047,Roasted unsalted peanuts,Peanuts,No,Primary,S013,Maipo Nuts Ltd.,4650,4.97,By Weight (kg),kg,1,Yes,6500,6.95,1850,0.2846153846153846
SUP0094,P047,Roasted unsalted peanuts,Peanuts,No,Backup,S014,El Palomo Nuts,4700,5.03,By Weight (kg),kg,7,Yes,6500,6.95,1800,0.27692307692307694
SUP0095,P048,Fried peanuts with salt,Peanuts,No,Primary,S013,Maipo Nuts Ltd.,5050,5.4,By Weight (kg),kg,1,Yes,7000,7.49,1950,0.2785714285714286
SUP0096,P048,Fried peanuts with salt,Peanuts,No,Backup,S014,El Palomo Nuts,5300,5.67,By Weight (kg),kg,3,Yes,7000,7.49,1700,0.24285714285714285
SUP0097,P049,Japanese peanuts,Peanuts,No,Primary,S013,Maipo Nuts Ltd.,7050,7.54,By Weight (kg),kg,1,Yes,10000,10.7,2950,0.295
SUP0098,P049,Japanese peanuts,Peanuts,No,Backup,S014,El Palomo Nuts,7400,7.91,By Weight (kg),kg,2,Yes,10000,10.7,2600,0.26
SUP0099,P050,Candied peanuts (natural),Peanuts,No,Primary,S013,Maipo Nuts Ltd.,6450,6.9,By Weight (kg),kg,1,Yes,9000,9.63,2550,0.2833333333333333
SUP0100,P050,Candied peanuts (natural),Peanuts,No,Backup,S014,El Palomo Nuts,6650,7.11,By Weight (kg),kg,5,Yes,9000,9.63,2350,0.2611111111111111
SUP0101,P051,Chocolate-coated peanuts,Peanuts,No,Primary,S013,Maipo Nuts Ltd.,7700,8.24,By Weight (kg),kg,0,Yes,11000,11.76,3300,0.3
SUP0102,P051,Chocolate-coated peanuts,Peanuts,No,Backup,S014,El Palomo Nuts,8200,8.77,By Weight (kg),kg,2,Yes,11000,11.76,2800,0.2545454545454545
SUP0103,P052,Peanuts with merken,Peanuts,No,Primary,S013,Maipo Nuts Ltd.,5300,5.67,By Weight (kg),kg,2,Yes,7500,8.02,2200,0.29333333333333333
SUP0104,P052,Peanuts with merken,Peanuts,No,Backup,S014,El Palomo Nuts,5500,5.88,By Weight (kg),kg,3,Yes,7500,8.02,2000,0.26666666666666666
SUP0105,P053,Honey-glazed peanuts,Peanuts,No,Primary,S013,Maipo Nuts Ltd.,5900,6.31,By Weight (kg),kg,0,Yes,8500,9.09,2600,0.3058823529411765
SUP0106,P053,Honey-glazed peanuts,Peanuts,No,Backup,S014,El Palomo Nuts,6750,7.22,By Weight (kg),kg,3,Yes,8500,9.09,1750,0.20588235294117646
SUP0107,P054,Salted peanuts in shell,Peanuts,No,Primary,S013,Maipo Nuts Ltd.,4050,4.33,By Weight (kg),kg,3,Yes,5500,5.88,1450,0.2636363636363636
SUP0108,P054,Salted peanuts in shell,Peanuts,No,Backup,S014,El Palomo Nuts,4300,4.6,By Weight (kg),kg,5,Yes,5500,5.88,1200,0.21818181818181817
SUP0109,P055,Walnuts (shelled),Nuts,Yes,Primary,S013,Maipo Nuts Ltd.,6800,7.27,By Weight (kg),kg,0,Yes,9000,9.63,2200,0.24444444444444444
SUP0110,P055,Walnuts (shelled),Nuts,Yes,Backup,S015,Nogal Dryfruits,7300,7.81,By Weight (kg),kg,3,No,9000,9.63,1700,0.18888888888888888
SUP0111,P056,Premium light-half walnuts,Nuts,No,Primary,S013,Maipo Nuts Ltd.,10000,10.7,By Weight (kg),kg,1,Yes,13000,13.9,3000,0.23076923076923078
SUP0112,P056,Premium light-half walnuts,Nuts,No,Backup,S015,Nogal Dryfruits,9650,10.32,By Weight (kg),kg,7,No,13000,13.9,3350,0.25769230769230766
SUP0113,P057,Walnuts in shell,Nuts,No,Primary,S013,Maipo Nuts Ltd.,4650,4.97,By Weight (kg),kg,5,Yes,6000,6.42,1350,0.225
SUP0114,P057,Walnuts in shell,Nuts,No,Backup,S015,Nogal Dryfruits,4600,4.92,By Weight (kg),kg,10,No,6000,6.42,1400,0.23333333333333334
SUP0115,P058,Almonds (shelled),Nuts,No,Primary,S013,Maipo Nuts Ltd.,7550,8.07,By Weight (kg),kg,2,Yes,10000,10.7,2450,0.245
SUP0116,P058,Almonds (shelled),Nuts,No,Backup,S015,Nogal Dryfruits,7650,8.18,By Weight (kg),kg,2,No,10000,10.7,2350,0.235
SUP0117,P059,Sliced almonds,Nuts,No,Primary,S013,Maipo Nuts Ltd.,9250,9.89,By Weight (kg),kg,1,Yes,12000,12.83,2750,0.22916666666666666
SUP0118,P059,Sliced almonds,Nuts,No,Backup,S015,Nogal Dryfruits,9550,10.21,By Weight (kg),kg,10,No,12000,12.83,2450,0.20416666666666666
SUP0119,P060,Roasted salted almonds,Nuts,No,Primary,S013,Maipo Nuts Ltd.,8500,9.09,By Weight (kg),kg,2,Yes,11000,11.76,2500,0.22727272727272727
SUP0120,P060,Roasted salted almonds,Nuts,No,Backup,S015,Nogal Dryfruits,8800,9.41,By Weight (kg),kg,7,No,11000,11.76,2200,0.2
SUP0121,P061,Hazelnuts,Nuts,No,Primary,S013,Maipo Nuts Ltd.,5400,5.78,By Weight (kg),kg,2,Yes,7500,8.02,2100,0.28
SUP0122,P061,Hazelnuts,Nuts,No,Backup,S015,Nogal Dryfruits,6250,6.68,By Weight (kg),kg,2,No,7500,8.02,1250,0.16666666666666666
SUP0123,P062,European hazelnuts (premium),Nuts,No,Primary,S013,Maipo Nuts Ltd.,16600,17.75,By Weight (kg),kg,2,Yes,22000,23.53,5400,0.24545454545454545
SUP0124,P062,European hazelnuts (premium),Nuts,No,Backup,S015,Nogal Dryfruits,16700,17.86,By Weight (kg),kg,5,No,22000,23.53,5300,0.2409090909090909
SUP0125,P063,Cashews (salted),Nuts,No,Primary,S013,Maipo Nuts Ltd.,19600,20.96,By Weight (kg),kg,3,Yes,26000,27.81,6400,0.24615384615384617
SUP0126,P063,Cashews (salted),Nuts,No,Backup,S015,Nogal Dryfruits,19850,21.23,By Weight (kg),kg,5,No,26000,27.81,6150,0.23653846153846153
SUP0127,P064,Cashews (unsalted),Nuts,No,Primary,S013,Maipo Nuts Ltd.,20150,21.55,By Weight (kg),kg,1,Yes,26000,27.81,5850,0.225
SUP0128,P064,Cashews (unsalted),Nuts,No,Backup,S015,Nogal Dryfruits,20250,21.66,By Weight (kg),kg,7,No,26000,27.81,5750,0.22115384615384615
SUP0129,P065,"Pistachios (roasted, salted)",Nuts,No,Primary,S013,Maipo Nuts Ltd.,22950,24.55,By Weight (kg),kg,2,Yes,30000,32.09,7050,0.235
SUP0130,P065,"Pistachios (roasted, salted)",Nuts,No,Backup,S015,Nogal Dryfruits,23900,25.56,By Weight (kg),kg,3,No,30000,32.09,6100,0.20333333333333334
SUP0131,P066,Pistachios (unsalted),Nuts,No,Primary,S013,Maipo Nuts Ltd.,22450,24.01,By Weight (kg),kg,0,Yes,30000,32.09,7550,0.25166666666666665
SUP0132,P066,Pistachios (unsalted),Nuts,No,Backup,S015,Nogal Dryfruits,24400,26.1,By Weight (kg),kg,3,No,30000,32.09,5600,0.18666666666666668
SUP0133,P067,Pecans (shelled),Nuts,No,Primary,S013,Maipo Nuts Ltd.,13000,13.9,By Weight (kg),kg,2,Yes,18000,19.25,5000,0.2777777777777778
SUP0134,P067,Pecans (shelled),Nuts,No,Backup,S015,Nogal Dryfruits,14800,15.83,By Weight (kg),kg,2,No,18000,19.25,3200,0.17777777777777778
SUP0135,P068,Brazil nuts,Nuts,No,Primary,S013,Maipo Nuts Ltd.,11600,12.41,By Weight (kg),kg,0,Yes,16000,17.11,4400,0.275
SUP0136,P068,Brazil nuts,Nuts,No,Backup,S015,Nogal Dryfruits,12100,12.94,By Weight (kg),kg,3,No,16000,17.11,3900,0.24375
SUP0137,P069,Macadamia nuts,Nuts,No,Primary,S013,Maipo Nuts Ltd.,17200,18.4,By Weight (kg),kg,2,Yes,24000,25.67,6800,0.2833333333333333
SUP0138,P069,Macadamia nuts,Nuts,No,Backup,S015,Nogal Dryfruits,18600,19.89,By Weight (kg),kg,2,No,24000,25.67,5400,0.225
SUP0139,P070,Sunflower seeds,Seeds,No,Primary,S013,Maipo Nuts Ltd.,2800,2.99,By Weight (kg),kg,5,Yes,4000,4.28,1200,0.3
SUP0140,P070,Sunflower seeds,Seeds,No,Backup,S016,Semillas del Campo,3050,3.26,By Weight (kg),kg,3,No,4000,4.28,950,0.2375
SUP0141,P071,Pumpkin seeds,Seeds,No,Primary,S013,Maipo Nuts Ltd.,4200,4.49,By Weight (kg),kg,0,Yes,6000,6.42,1800,0.3
SUP0142,P071,Pumpkin seeds,Seeds,No,Backup,S016,Semillas del Campo,4500,4.81,By Weight (kg),kg,5,No,6000,6.42,1500,0.25
SUP0143,P072,Chia seeds,Seeds,No,Primary,S013,Maipo Nuts Ltd.,3700,3.96,By Weight (kg),kg,3,Yes,5000,5.35,1300,0.26
SUP0144,P072,Chia seeds,Seeds,No,Backup,S016,Semillas del Campo,3850,4.12,By Weight (kg),kg,5,No,5000,5.35,1150,0.23
SUP0145,P073,Flax seeds,Seeds,No,Primary,S013,Maipo Nuts Ltd.,2550,2.73,By Weight (kg),kg,2,Yes,3500,3.74,950,0.2714285714285714
SUP0146,P073,Flax seeds,Seeds,No,Backup,S016,Semillas del Campo,2550,2.73,By Weight (kg),kg,10,No,3500,3.74,950,0.2714285714285714
SUP0147,P074,Sesame seeds,Seeds,No,Primary,S013,Maipo Nuts Ltd.,3300,3.53,By Weight (kg),kg,1,Yes,4500,4.81,1200,0.26666666666666666
SUP0148,P074,Sesame seeds,Seeds,No,Backup,S016,Semillas del Campo,3450,3.69,By Weight (kg),kg,3,No,4500,4.81,1050,0.23333333333333334
SUP0149,P075,Artisanal alfajores,Candy,No,Primary,S017,Molina Artisan Sweets,700,0.75,By Unit/Package,unit,2,No,1000,1.07,300,0.3
SUP0150,P075,Artisanal alfajores,Candy,No,Backup,S018,Dulces La Estrella,700,0.75,By Unit/Package,unit,5,Yes,1000,1.07,300,0.3
SUP0151,P076,Candied quince (membrillo),Candy,No,Primary,S017,Molina Artisan Sweets,2450,2.62,By Weight (kg),kg,1,No,3500,3.74,1050,0.3
SUP0152,P076,Candied quince (membrillo),Candy,No,Backup,S018,Dulces La Estrella,2400,2.57,By Weight (kg),kg,5,Yes,3500,3.74,1100,0.3142857142857143
SUP0153,P077,"Homemade jam, jar 350g",Candy,No,Primary,S017,Molina Artisan Sweets,1350,1.44,By Unit/Package,jar 350g,1,No,2000,2.14,650,0.325
SUP0154,P077,"Homemade jam, jar 350g",Candy,No,Backup,S018,Dulces La Estrella,1450,1.55,By Unit/Package,jar 350g,3,Yes,2000,2.14,550,0.275
SUP0155,P078,Artisanal nougat (turron),Candy,No,Primary,S017,Molina Artisan Sweets,700,0.75,By Unit/Package,unit,3,No,1000,1.07,300,0.3
SUP0156,P078,Artisanal nougat (turron),Candy,No,Backup,S018,Dulces La Estrella,750,0.8,By Unit/Package,unit,5,Yes,1000,1.07,250,0.25
