BatchID,ProductID,Product,Category,SupplierRole,SupplierName,PurchaseDate,ExpiryDate,Quantity,Unit,Status,QtySold,QtyWasted,WastedPct,Revenue_CLP,Revenue_USD,GrossProfit_CLP,GrossProfit_USD,Season,SeasonSH,YearMonth
B00011,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-10-04,2023-11-18,35,kg,Sold Out,35.0,0.0,0.0,140000,149.73,36750,39.3,Spring,Spring,2023-10
B00012,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-10-12,2023-11-26,34,kg,Sold Out,34.0,0.0,0.0,136000,145.45,35700,38.18,Spring,Spring,2023-10
B00013,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-10-20,2023-12-04,34,kg,Sold Out,34.0,0.0,0.0,136000,145.45,35700,38.18,Spring,Spring,2023-10
B00014,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-10-30,2023-12-14,34,kg,Partial Loss,29.89,4.11,12.1,119560,127.87,19260,20.6,Spring,Spring,2023-10
B00015,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-11-09,2023-12-24,39,kg,Sold Out,39.0,0.0,0.0,156000,166.84,40950,43.8,Spring,Spring,2023-11
B00016,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-11-18,2024-01-02,35,kg,Partial Loss,30.84,4.17,11.9,123360,131.94,20110,21.51,Spring,Spring,2023-11
B00017,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-11-27,2024-01-11,37,kg,Sold Out,37.0,0.0,0.0,148000,158.29,38850,41.55,Spring,Spring,2023-11
B00018,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-12-09,2024-01-23,48,kg,Sold Out,48.0,0.0,0.0,192000,205.35,50400,53.9,Summer,Summer,2023-12
B00019,P001,"Olives 120/140 (extra large), brined",Olives,Backup,Aceitunera Central SpA,2023-12-18,2024-02-01,47,kg,Sold Out,47.0,0.0,0.0,188000,201.07,47000,50.27,Summer,Summer,2023-12
B00020,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-12-27,2024-02-10,53,kg,Sold Out,53.0,0.0,0.0,212000,226.74,55650,59.52,Summer,Summer,2023-12
B00021,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-01-05,2024-02-19,40,kg,Sold Out,40.0,0.0,0.0,160000,171.12,42000,44.92,Summer,Summer,2024-01
B00022,P001,"Olives 120/140 (extra large), brined",Olives,Backup,Aceitunera Central SpA,2024-01-15,2024-02-29,41,kg,Partial Loss,33.33,7.67,18.7,133320,142.59,10320,11.04,Summer,Summer,2024-01
B00023,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-01-24,2024-03-09,35,kg,Partial Loss,25.97,9.03,25.8,103880,111.1,630,0.67,Summer,Summer,2024-01
B00024,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-02-01,2024-03-17,35,kg,Sold Out,35.0,0.0,0.0,140000,149.73,36750,39.3,Summer,Summer,2024-02
B00025,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-02-11,2024-03-27,40,kg,Sold Out,40.0,0.0,0.0,160000,171.12,42000,44.92,Summer,Summer,2024-02
B00026,P001,"Olives 120/140 (extra large), brined",Olives,Backup,Aceitunera Central SpA,2024-02-20,2024-04-05,45,kg,Partial Loss,36.85,8.14,18.1,147400,157.65,12400,13.26,Summer,Summer,2024-02
B00027,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-02-29,2024-04-14,45,kg,Partial Loss,29.57,15.44,34.3,118280,126.5,-14470,-15.48,Summer,Summer,2024-02
B00028,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-03-10,2024-04-24,46,kg,Sold Out,46.0,0.0,0.0,184000,196.79,48300,51.66,Autumn,Autumn,2024-03
B00029,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-03-21,2024-05-05,35,kg,Partial Loss,33.88,1.12,3.2,135520,144.94,32270,34.51,Autumn,Autumn,2024-03
B00030,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-03-31,2024-05-15,34,kg,Partial Loss,30.36,3.64,10.7,121440,129.88,21140,22.61,Autumn,Autumn,2024-03
B00031,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-04-09,2024-05-24,13,kg,Partial Loss,10.59,2.4,18.5,42360,45.3,4010,4.29,Autumn,Autumn,2024-04
B00032,P001,"Olives 120/140 (extra large), brined",Olives,Backup,Aceitunera Central SpA,2024-04-20,2024-06-04,14,kg,Sold Out,14.0,0.0,0.0,56000,59.89,14000,14.97,Autumn,Autumn,2024-04
B00033,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-04-29,2024-06-13,16,kg,Partial Loss,14.1,1.9,11.9,56400,60.32,9200,9.84,Autumn,Autumn,2024-04
B00034,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-05-09,2024-06-23,15,kg,Sold Out,15.0,0.0,0.0,60000,64.17,15750,16.84,Autumn,Autumn,2024-05
B00035,P001,"Olives 120/140 (extra large), brined",Olives,Backup,Aceitunera Central SpA,2024-05-18,2024-07-02,13,kg,Sold Out,13.0,0.0,0.0,52000,55.61,13000,13.9,Autumn,Autumn,2024-05
B00036,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-05-27,2024-07-11,15,kg,Partial Loss,11.51,3.5,23.3,46040,49.24,1790,1.91,Autumn,Autumn,2024-05
B00037,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-06-04,2024-07-19,15,kg,Partial Loss,11.27,3.73,24.9,45080,48.21,830,0.89,Winter,Winter,2024-06
B00038,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-06-14,2024-07-29,15,kg,Partial Loss,11.8,3.19,21.3,47200,50.48,2950,3.16,Winter,Winter,2024-06
B00039,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-06-21,2024-08-05,13,kg,Sold Out,13.0,0.0,0.0,52000,55.61,13650,14.6,Winter,Winter,2024-06
B00040,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-06-30,2024-08-14,15,kg,Partial Loss,12.25,2.75,18.3,49000,52.41,4750,5.08,Winter,Winter,2024-06
B00041,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-07-11,2024-08-25,15,kg,Partial Loss,13.38,1.62,10.8,53520,57.24,9270,9.91,Winter,Winter,2024-07
B00042,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-07-21,2024-09-04,15,kg,Sold Out,15.0,0.0,0.0,60000,64.17,15750,16.84,Winter,Winter,2024-07
B00043,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-07-31,2024-09-14,14,kg,Partial Loss,12.66,1.34,9.6,50640,54.16,9340,9.99,Winter,Winter,2024-07
B00044,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-08-11,2024-09-25,16,kg,Partial Loss,13.04,2.96,18.5,52160,55.79,4960,5.3,Winter,Winter,2024-08
B00045,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-08-22,2024-10-06,14,kg,Sold Out,14.0,0.0,0.0,56000,59.89,14700,15.72,Winter,Winter,2024-08
B00046,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-09-02,2024-10-17,21,kg,Partial Loss,19.38,1.62,7.7,77520,82.91,15570,16.65,Spring,Spring,2024-09
B00047,P001,"Olives 120/140 (extra large), brined",Olives,Backup,Aceitunera Central SpA,2024-09-11,2024-10-26,19,kg,Partial Loss,18.13,0.87,4.6,72520,77.56,15520,16.6,Spring,Spring,2024-09
B00048,P001,"Olives 120/140 (extra large), brined",Olives,Backup,Aceitunera Central SpA,2024-09-20,2024-11-04,19,kg,Partial Loss,14.31,4.69,24.7,57240,61.22,240,0.26,Spring,Spring,2024-09
B00049,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-10-01,2024-11-15,36,kg,Sold Out,36.0,0.0,0.0,144000,154.01,37800,40.43,Spring,Spring,2024-10
B00050,P001,"Olives 120/140 (extra large), brined",Olives,Backup,Aceitunera Central SpA,2024-10-10,2024-11-24,36,kg,Partial Loss,31.75,4.25,11.8,127000,135.83,19000,20.32,Spring,Spring,2024-10
B00051,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-10-17,2024-12-01,39,kg,Sold Out,39.0,0.0,0.0,156000,166.84,40950,43.8,Spring,Spring,2024-10
B00052,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-10-27,2024-12-11,43,kg,Sold Out,43.0,0.0,0.0,172000,183.96,45150,48.29,Spring,Spring,2024-10
B00053,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-11-04,2024-12-19,41,kg,Sold Out,41.0,0.0,0.0,164000,175.4,43050,46.04,Spring,Spring,2024-11
B00054,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-11-14,2024-12-29,38,kg,Partial Loss,30.13,7.87,20.7,120520,128.9,8420,9.01,Spring,Spring,2024-11
B00055,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-11-27,2025-01-11,46,kg,Sold Out,46.0,0.0,0.0,184000,196.79,48300,51.66,Spring,Spring,2024-11
B00056,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-12-05,2025-01-19,59,kg,Sold Out,59.0,0.0,0.0,236000,252.41,61950,66.26,Summer,Summer,2024-12
B00057,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-12-13,2025-01-27,53,kg,Sold Out,53.0,0.0,0.0,212000,226.74,55650,59.52,Summer,Summer,2024-12
B00058,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-12-22,2025-02-05,52,kg,Sold Out,52.0,0.0,0.0,208000,222.46,54600,58.4,Summer,Summer,2024-12
B00059,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2025-01-01,2025-02-15,41,kg,Sold Out,41.0,0.0,0.0,164000,175.4,43050,46.04,Summer,Summer,2025-01
B00060,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2025-01-11,2025-02-25,43,kg,Sold Out,43.0,0.0,0.0,172000,183.96,45150,48.29,Summer,Summer,2025-01
B00061,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2025-01-22,2025-03-08,44,kg,Sold Out,44.0,0.0,0.0,176000,188.24,46200,49.41,Summer,Summer,2025-01
B00062,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2025-01-28,2025-03-14,39,kg,Partial Loss,33.03,5.97,15.3,132120,141.3,17070,18.26,Summer,Summer,2025-01
B00063,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2025-02-09,2025-03-26,49,kg,Sold Out,49.0,0.0,0.0,196000,209.63,51450,55.03,Summer,Summer,2025-02
B00064,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2025-02-20,2025-04-06,37,kg,Sold Out,37.0,0.0,0.0,148000,158.29,38850,41.55,Summer,Summer,2025-02
B00065,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2025-03-01,2025-04-15,37,kg,Partial Loss,31.49,5.51,14.9,125960,134.72,16810,17.98,Autumn,Autumn,2025-03
B00066,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2025-03-10,2025-04-24,41,kg,Sold Out,41.0,0.0,0.0,164000,175.4,43050,46.04,Autumn,Autumn,2025-03
B00067,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2025-03-19,2025-05-03,50,kg,Sold Out,50.0,0.0,0.0,200000,213.9,52500,56.15,Autumn,Autumn,2025-03
B00068,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2025-03-26,2025-05-10,47,kg,Partial Loss,39.29,7.71,16.4,157160,168.09,18510,19.8,Autumn,Autumn,2025-03
B00069,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2025-04-06,2025-05-21,15,kg,Partial Loss,11.51,3.5,23.3,46040,49.24,1790,1.91,Autumn,Autumn,2025-04
B00070,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2025-04-14,2025-05-29,16,kg,Sold Out,16.0,0.0,0.0,64000,68.45,16800,17.97,Autumn,Autumn,2025-04
B00071,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2025-04-24,2025-06-08,16,kg,Partial Loss,13.04,2.96,18.5,52160,55.79,4960,5.3,Autumn,Autumn,2025-04
B00072,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2025-05-02,2025-06-16,18,kg,Partial Loss,14.72,3.28,18.2,58880,62.97,5780,6.18,Autumn,Autumn,2025-05
B00073,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2025-05-13,2025-06-27,18,kg,Partial Loss,13.99,4.01,22.3,55960,59.85,2860,3.06,Autumn,Autumn,2025-05
B00074,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2025-05-21,2025-07-05,18,kg,Partial Loss,14.22,3.78,21.0,56880,60.83,3780,4.04,Autumn,Autumn,2025-05
B00075,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2025-05-31,2025-07-15,15,kg,Partial Loss,11.13,3.87,25.8,44520,47.61,270,0.29,Autumn,Autumn,2025-05
B00076,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2025-06-12,2025-07-27,15,kg,Partial Loss,13.08,1.92,12.8,52320,55.96,8070,8.63,Winter,Winter,2025-06
B00077,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2025-06-21,2025-08-05,15,kg,Sold Out,15.0,0.0,0.0,60000,64.17,15750,16.84,Winter,Winter,2025-06
B00078,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2025-06-29,2025-08-13,16,kg,Sold Out,16.0,0.0,0.0,64000,68.45,16800,17.97,Winter,Winter,2025-06
B00079,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-07-10,2023-08-24,15,kg,Partial Loss,12.78,2.22,14.8,44730,47.84,7230,7.73,Winter,Winter,2023-07
B00080,P002,"Olives 140/160 (large), brined",Olives,Backup,Aceitunera Central SpA,2023-07-17,2023-08-31,15,kg,Sold Out,15.0,0.0,0.0,52500,56.15,12000,12.83,Winter,Winter,2023-07
B00081,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-07-27,2023-09-10,15,kg,Partial Loss,12.48,2.52,16.8,43680,46.72,6180,6.61,Winter,Winter,2023-07
B00082,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-08-03,2023-09-17,15,kg,Partial Loss,10.58,4.42,29.5,37030,39.6,-470,-0.5,Winter,Winter,2023-08
B00083,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-08-12,2023-09-26,17,kg,Sold Out,17.0,0.0,0.0,59500,63.64,17000,18.18,Winter,Winter,2023-08
B00084,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-08-25,2023-10-09,17,kg,Partial Loss,15.08,1.92,11.3,52780,56.45,10280,10.99,Winter,Winter,2023-08
B00085,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-09-04,2023-10-19,19,kg,Sold Out,19.0,0.0,0.0,66500,71.12,19000,20.32,Spring,Spring,2023-09
B00086,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-09-17,2023-11-01,19,kg,Sold Out,19.0,0.0,0.0,66500,71.12,19000,20.32,Spring,Spring,2023-09
B00087,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-09-29,2023-11-13,18,kg,Partial Loss,15.16,2.84,15.8,53060,56.75,8060,8.62,Spring,Spring,2023-09
B00088,P002,"Olives 140/160 (large), brined",Olives,Backup,Aceitunera Central SpA,2023-10-10,2023-11-24,35,kg,Sold Out,35.0,0.0,0.0,122500,131.02,28000,29.95,Spring,Spring,2023-10
B00089,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-10-18,2023-12-02,45,kg,Sold Out,45.0,0.0,0.0,157500,168.45,45000,48.13,Spring,Spring,2023-10
B00090,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-10-27,2023-12-11,36,kg,Sold Out,36.0,0.0,0.0,126000,134.76,36000,38.5,Spring,Spring,2023-10
B00091,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-11-07,2023-12-22,37,kg,Sold Out,37.0,0.0,0.0,129500,138.5,37000,39.57,Spring,Spring,2023-11
B00092,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-11-18,2024-01-02,42,kg,Partial Loss,37.21,4.79,11.4,130235,139.29,25235,26.99,Spring,Spring,2023-11
B00093,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-11-29,2024-01-13,42,kg,Sold Out,42.0,0.0,0.0,147000,157.22,42000,44.92,Spring,Spring,2023-11
B00094,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-12-09,2024-01-23,49,kg,Sold Out,49.0,0.0,0.0,171500,183.42,49000,52.41,Summer,Summer,2023-12
B00095,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-12-17,2024-01-31,54,kg,Sold Out,54.0,0.0,0.0,189000,202.14,54000,57.75,Summer,Summer,2023-12
B00096,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-12-29,2024-02-12,59,kg,Sold Out,59.0,0.0,0.0,206500,220.86,59000,63.1,Summer,Summer,2023-12
B00097,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-01-06,2024-02-20,37,kg,Sold Out,37.0,0.0,0.0,129500,138.5,37000,39.57,Summer,Summer,2024-01
B00098,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-01-17,2024-03-02,36,kg,Sold Out,36.0,0.0,0.0,126000,134.76,36000,38.5,Summer,Summer,2024-01
B00099,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-01-28,2024-03-13,39,kg,Sold Out,39.0,0.0,0.0,136500,145.99,39000,41.71,Summer,Summer,2024-01
B00100,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-02-09,2024-03-25,37,kg,Sold Out,37.0,0.0,0.0,129500,138.5,37000,39.57,Summer,Summer,2024-02
B00101,P002,"Olives 140/160 (large), brined",Olives,Backup,Aceitunera Central SpA,2024-02-17,2024-04-02,37,kg,Partial Loss,31.45,5.55,15.0,110075,117.73,10175,10.88,Summer,Summer,2024-02
B00102,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-02-27,2024-04-12,40,kg,Partial Loss,33.48,6.52,16.3,117180,125.33,17180,18.37,Summer,Summer,2024-02
B00103,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-03-09,2024-04-23,38,kg,Partial Loss,33.02,4.98,13.1,115570,123.6,20570,22.0,Autumn,Autumn,2024-03
B00104,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-03-17,2024-05-01,43,kg,Sold Out,43.0,0.0,0.0,150500,160.96,43000,45.99,Autumn,Autumn,2024-03
B00105,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-03-27,2024-05-11,35,kg,Sold Out,35.0,0.0,0.0,122500,131.02,35000,37.43,Autumn,Autumn,2024-03
B00106,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-04-06,2024-05-21,17,kg,Partial Loss,12.31,4.69,27.6,43085,46.08,585,0.63,Autumn,Autumn,2024-04
B00107,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-04-13,2024-05-28,16,kg,Partial Loss,13.14,2.86,17.9,45990,49.19,5990,6.41,Autumn,Autumn,2024-04
B00108,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-04-21,2024-06-05,13,kg,Partial Loss,11.88,1.12,8.6,41580,44.47,9080,9.71,Autumn,Autumn,2024-04
B00109,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-04-30,2024-06-14,15,kg,Partial Loss,10.25,4.75,31.7,35875,38.37,-1625,-1.74,Autumn,Autumn,2024-04
B00110,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-05-07,2024-06-21,17,kg,Partial Loss,13.7,3.3,19.4,47950,51.28,5450,5.83,Autumn,Autumn,2024-05
B00111,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-05-17,2024-07-01,14,kg,Partial Loss,10.19,3.81,27.2,35665,38.14,665,0.71,Autumn,Autumn,2024-05
B00112,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-05-27,2024-07-11,14,kg,Partial Loss,9.83,4.17,29.8,34405,36.8,-595,-0.64,Autumn,Autumn,2024-05
B00113,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-06-04,2024-07-19,16,kg,Sold Out,16.0,0.0,0.0,56000,59.89,16000,17.11,Winter,Winter,2024-06
B00114,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-06-10,2024-07-25,17,kg,Sold Out,17.0,0.0,0.0,59500,63.64,17000,18.18,Winter,Winter,2024-06
B00115,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-06-20,2024-08-04,14,kg,Sold Out,14.0,0.0,0.0,49000,52.41,14000,14.97,Winter,Winter,2024-06
B00116,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-07-01,2024-08-15,16,kg,Sold Out,16.0,0.0,0.0,56000,59.89,16000,17.11,Winter,Winter,2024-07
B00117,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-07-11,2024-08-25,13,kg,Partial Loss,10.79,2.21,17.0,37765,40.39,5265,5.63,Winter,Winter,2024-07
B00118,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-07-20,2024-09-03,16,kg,Sold Out,16.0,0.0,0.0,56000,59.89,16000,17.11,Winter,Winter,2024-07
B00119,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-08-01,2024-09-15,16,kg,Partial Loss,13.89,2.11,13.2,48615,51.99,8615,9.21,Winter,Winter,2024-08
B00120,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-08-11,2024-09-25,13,kg,Partial Loss,10.44,2.56,19.7,36540,39.08,4040,4.32,Winter,Winter,2024-08
B00121,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-08-21,2024-10-05,15,kg,Partial Loss,10.94,4.07,27.1,38290,40.95,790,0.84,Winter,Winter,2024-08
B00122,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-08-31,2024-10-15,14,kg,Partial Loss,10.35,3.65,26.1,36225,38.74,1225,1.31,Winter,Winter,2024-08
B00123,P002,"Olives 140/160 (large), brined",Olives,Primary,El Olivar Olives Ltd.,2024-09-10,2024-10-25,18,kg,Sold Out,18.0,0.0,0.0,63000,67.38,18000,19.25,Spring,Spring,2024-09
B00124,P002,"Olives 140/160 (large), brined",Olives,Backup,Aceitunera Central SpA,2024-09-18,2024-11-02,19,kg,Partial Loss,14.54,4.46,23.5,50890,54.43,-410,-0.44,Spring,Spring,2024-09
